"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","5","2"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","7","9"
"comm_confirm_grp[1]/comm_details","1","15"
"comm_confirm_grp[1]/comm_confirm","1","15"
"u5_iden_grp[1]/u5_id","34","16"
"u5_iden_grp[1]/u5_fullname","34","16"
"u5_iden_grp[1]/u5_age","34","16"
"u5_iden_grp[1]/u5_ct_id","34","16"
"u5_iden_grp[1]/u5_ct_fullname","34","16"
"uf9","2","51"
"consent_grp[1]/consent","2","53"
"consented_grp[1]/ub0","1","54"
"consented_grp[1]/ub1_age_sel","2","56"
"consented_grp[1]/ub1_dob_dmy","12","58"
"consented_grp[1]/ub5","2","70"
"consented_grp[1]/ub9","2","71"
"consented_grp[1]/br1","6","73"
"consented_grp[1]/br2","2","79"
"consented_grp[1]/br3","2","80"
"consented_grp[1]/ec1","2","82"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","25","85"
"consented_grp[1]/ec2_grp[1]/ec2_label","25","85"
"consented_grp[1]/ec2_grp[1]/ec2a","25","85"
"consented_grp[1]/ec2_grp[1]/ec2b","25","85"
"consented_grp[1]/ec2_grp[1]/ec2c","25","85"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","8","109"
"consented_grp[1]/ec3_grp[1]/ec3a","8","109"
"consented_grp[1]/ec3_grp[1]/ec3b","8","109"
"consented_grp[1]/ec7","2","117"
"consented_grp[1]/ec8","1","120"
"consented_grp[1]/ec9","2","121"
"consented_grp[1]/ec10","2","123"
"consented_grp[1]/ec11","2","125"
"consented_grp[1]/ec12","1","127"
"consented_grp[1]/ec13","1","128"
"consented_grp[1]/ec14","1","130"
"consented_grp[1]/ec15","6","131"
"consented_grp[1]/bd_grp[1]/bd2","3","132"
"consented_grp[1]/bd_grp[1]/bd3","1","140"
"consented_grp[1]/bd_grp[1]/bd4","2","141"
"consented_grp[1]/bd_grp[1]/bd5","10","143"
"consented_grp[1]/bd_grp[1]/bd6","4","154"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","11","158"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","11","158"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","11","158"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","11","158"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","11","158"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","11","158"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","4","169"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","4","169"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","2","173"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","2","173"
"consented_grp[1]/bd_grp[1]/bd8","2","175"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","1","177"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","2","178"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","180"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","2","181"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","3","183"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","1","186"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","2","187"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","1","189"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","1","190"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","1","191"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","1","192"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","1","193"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","1","195"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","1","196"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","1","197"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","1","198"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","1","199"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","1","200"
"consented_grp[1]/im2","2","202"
"consented_grp[1]/im5","1","203"
"consented_grp[1]/im6_note","6","205"
"consented_grp[1]/im6_rpt[1]/im6","2","211"
"consented_grp[1]/im6_rpt[1]/im6a","15","213"
"consented_grp[1]/im6_rpt[2]/im6","5","223"
"consented_grp[1]/im6_rpt[2]/im6a","13","225"
"consented_grp[1]/im6_rpt[3]/im6","4","244"
"consented_grp[1]/im6_rpt[3]/im6a","1","247"
"consented_grp[1]/im6_rpt[4]/im6","6","284"
"consented_grp[1]/im6_rpt[4]/im6a","9","290"
"consented_grp[1]/im6_rpt[5]/im6","2","298"
"consented_grp[1]/im6_rpt[5]/im6a","10","301"
"consented_grp[1]/im6_rpt[6]/im6","2","311"
"consented_grp[1]/im6_rpt[6]/im6a","7","313"
"consented_grp[1]/im6_rpt[7]/im6","3","320"
"consented_grp[1]/im6_rpt[7]/im6a","5","323"
"consented_grp[1]/im6_rpt[8]/im6","2","328"
"consented_grp[1]/im6_rpt[8]/im6a","4","330"
"consented_grp[1]/im6_rpt[9]/im6","2","335"
"consented_grp[1]/im6_rpt[9]/im6a","5","336"
"consented_grp[1]/im6_rpt[10]/im6","2","341"
"consented_grp[1]/im6_rpt[10]/im6a","5","343"
"consented_grp[1]/im6_rpt[11]/im6","2","348"
"consented_grp[1]/im6_rpt[12]/im6","1","350"
"consented_grp[1]/im6_rpt[13]/im6","1","352"
"consented_grp[1]/im6_rpt[14]/im6","2","353"
"consented_grp[1]/im6_rpt[15]/im6","2","355"
"consented_grp[1]/ca1","28","357"
"consented_grp[1]/ca14","4","385"
"consented_grp[1]/ca16","2","388"
"consented_grp[1]/ca17","2","390"
"consented_grp[1]/ca31","20","392"
"consented_grp[1]/gps_backup","3","412"
"comments","2","415"
