"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","1"
"enum_id","23","2"
"enum_confirm_grp[1]/enum_details","3","15"
"enum_confirm_grp[1]/enum_confirm","3","15"
"community_id","40","16"
"comm_confirm_grp[1]/comm_details","6","53"
"comm_confirm_grp[1]/comm_confirm","6","53"
"hhid_grp[1]/hhid_instruction","15","55"
"hhid_grp[1]/hhid_struct_num","15","55"
"hhid_grp[1]/hhid_hh_num","15","55"
"hhid_confirm_grp[1]/hhid_details","11","68"
"hhid_confirm_grp[1]/hhid_confirm","11","68"
"consent_grp[1]/consent_instr","9","70"
"consent_grp[1]/consent","9","70"
"consented_grp[1]/hh_note","3","79"
"consented_grp[1]/hhm_cnt","4","81"
"consented_grp[1]/rooster_note","4","83"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","94","86"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","94","86"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","94","86"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","195","135"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","4","372"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","9","375"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","63","382"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","15","444"
"consented_grp[1]/hhm_rpt[1]/ed4","9","458"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","8","466"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","21","473"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","4","492"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","17","495"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","27","511"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","27","511"
