"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","5","2"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","76","9"
"comm_confirm_grp[1]/comm_details","1","85"
"comm_confirm_grp[1]/comm_confirm","1","85"
"u5_iden_grp[1]/u5_id","134","86"
"u5_iden_grp[1]/u5_fullname","134","86"
"u5_iden_grp[1]/u5_age","134","86"
"u5_iden_grp[1]/u5_ct_id","134","86"
"u5_iden_grp[1]/u5_ct_fullname","134","86"
"gm1_a","3","221"
"gm1_b","4","224"
"gm2_rpt[1]/gm2_grp[1]/gm3","184","228"
"gm2_rpt[1]/gm2_grp[1]/gm4","5","409"
"gm2_rpt[1]/gm2_grp[1]/gm5","3","410"
"gm2_rpt[1]/gm2_grp[1]/gm6","27","411"
"gm2_rpt[1]/gm2_grp[1]/gm7","4","447"
"gmobs1","1","451"
"gmobs2","2","452"
"an8","11","454"
"an9","2","466"
"an11_grp[1]/an11_a","7","467"
"an11_grp[1]/an11","7","467"
"an12","3","474"
"an13","1","477"
"an15","1","478"
