"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","12","3"
"enum_confirm_grp[1]/enum_details","1","15"
"enum_confirm_grp[1]/enum_confirm","1","15"
"community_id","24","17"
"comm_confirm_grp[1]/comm_details","4","40"
"comm_confirm_grp[1]/comm_confirm","4","40"
"hhid_grp[1]/hhid_instruction","16","44"
"hhid_grp[1]/hhid_struct_num","16","44"
"hhid_grp[1]/hhid_hh_num","16","44"
"hhid_confirm_grp[1]/hhid_details","2","60"
"hhid_confirm_grp[1]/hhid_confirm","2","60"
"consent_grp[1]/consent_instr","4","62"
"consent_grp[1]/consent","4","62"
"consented_grp[1]/hh_note","2","66"
"consented_grp[1]/hhm_cnt","6","68"
"consented_grp[1]/rooster_note","2","74"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","34","75"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","34","75"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","34","75"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","109"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","111"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","114"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","3","116"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","2","119"
"consented_grp[1]/hhm_rpt[1]/ed4","8","121"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","2","129"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","2","129"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","53","132"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","53","132"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","53","132"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","11","184"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","196"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","4","198"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","3","200"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl6_age_est","4","205"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","2","209"
"consented_grp[1]/hhm_rpt[2]/ed4","8","211"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","50","219"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","5","269"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","3","275"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","5","277"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","4","282"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","4","282"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","34","286"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","34","286"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","34","286"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","2","320"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","2","322"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","2","324"
