"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","4","3"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","7","8"
"comm_confirm_grp[1]/comm_details","1","15"
"comm_confirm_grp[1]/comm_confirm","1","15"
"iw_iden_grp[1]/iw_id","37","16"
"iw_iden_grp[1]/iw_fullname","37","16"
"iw_iden_grp[1]/iw_age","37","16"
"wm8","1","53"
"wm9_grp[1]/wm9b","1","55"
"wm9_grp[1]/consent","1","55"
"consented_grp[1]/wb3_age_sel","2","56"
"consented_grp[1]/wb3_dob_dmy","9","58"
"consented_grp[1]/wb5","2","67"
"consented_grp[1]/wb14_grp[1]/wb14_note","6","69"
"consented_grp[1]/wb14_grp[1]/wb14","6","69"
"consented_grp[1]/wb15","34","75"
"consented_grp[1]/wb16_grp[1]/wb16a","14","109"
"consented_grp[1]/wb16_grp[1]/wb16_note","14","109"
"consented_grp[1]/wb16_grp[1]/wb16b","14","109"
"consented_grp[1]/wb17a","2","123"
"consented_grp[1]/wb17b","3","125"
"consented_grp[1]/wb17c","6","128"
"consented_grp[1]/wb18","1","134"
"consented_grp[1]/mt1","2","135"
"consented_grp[1]/mt2","11","137"
"consented_grp[1]/mt3","9","143"
"consented_grp[1]/mt4","2","157"
"consented_grp[1]/mt9","1","159"
"consented_grp[1]/mt11","2","160"
"consented_grp[1]/mt12","10","163"
"consented_grp[1]/cm1","3","173"
"consented_grp[1]/cm2","2","176"
"consented_grp[1]/cm2_grp[1]/cm3","5","177"
"consented_grp[1]/cm2_grp[1]/cm4","5","177"
"consented_grp[1]/cm5","2","182"
"consented_grp[1]/cm5_grp[1]/cm6","16","184"
"consented_grp[1]/cm5_grp[1]/cm7","16","184"
"consented_grp[1]/cm8","2","200"
"consented_grp[1]/cm8_grp[1]/cm9","59","202"
"consented_grp[1]/cm8_grp[1]/cm10","59","202"
"consented_grp[1]/cm12","7","260"
"consented_grp[1]/bh0","6","267"
"consented_grp[1]/bh_rpt[1]/bh1","12","274"
"consented_grp[1]/bh_rpt[1]/bh2","1","285"
"consented_grp[1]/bh_rpt[1]/bh3","2","286"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","4","288"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","7","292"
"consented_grp[1]/bh_rpt[1]/bh5","2","299"
"consented_grp[1]/bh_rpt[1]/bh6","2","301"
"consented_grp[1]/bh_rpt[1]/bh7","1","303"
"consented_grp[1]/bh_rpt[1]/bh10","1","305"
"consented_grp[1]/bh_rpt[2]/bh1","22","306"
"consented_grp[1]/bh_rpt[2]/bh2","1","328"
"consented_grp[1]/bh_rpt[2]/bh3","1","330"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","3","331"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","7","334"
"consented_grp[1]/bh_rpt[2]/bh5","3","341"
"consented_grp[1]/bh_rpt[2]/bh9_grp[1]/bh9_note","3","344"
"consented_grp[1]/bh_rpt[2]/bh9_grp[1]/bh9_a","3","344"
"consented_grp[1]/bh_rpt[2]/bh9_grp[1]/bh9_b","3","344"
"consented_grp[1]/bh_rpt[2]/bh10","2","347"
"consented_grp[1]/bh_rpt[3]/bh1","12","349"
"consented_grp[1]/bh_rpt[3]/bh2","2","361"
"consented_grp[1]/bh_rpt[3]/bh3","2","362"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","3","364"
"consented_grp[1]/bh_rpt[3]/bh4_dob_my","9","367"
"consented_grp[1]/bh_rpt[3]/bh5","1","376"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_note","4","377"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_a","4","377"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_b","4","377"
"consented_grp[1]/bh_rpt[3]/bh10","3","381"
"consented_grp[1]/bh_rpt[4]/bh1","15","382"
"consented_grp[1]/bh_rpt[4]/bh2","1","399"
"consented_grp[1]/bh_rpt[4]/bh3","1","400"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","2","402"
"consented_grp[1]/bh_rpt[4]/bh4_dob_my","13","404"
"consented_grp[1]/bh_rpt[4]/bh5","2","416"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_note","16","418"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_a","16","418"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_b","16","418"
"consented_grp[1]/bh_rpt[4]/bh10","4","429"
"consented_grp[1]/bh_rpt[5]/bh1","12","438"
"consented_grp[1]/bh_rpt[5]/bh2","1","450"
"consented_grp[1]/bh_rpt[5]/bh3","1","451"
"consented_grp[1]/bh_rpt[5]/bh4_age_sel","3","452"
"consented_grp[1]/bh_rpt[5]/bh4_dob_my","8","455"
"consented_grp[1]/bh_rpt[5]/bh5","3","463"
"consented_grp[1]/bh_rpt[5]/bh6","3","465"
"consented_grp[1]/bh_rpt[5]/bh7","1","468"
"consented_grp[1]/bh_rpt[5]/bh10","1","470"
"consented_grp[1]/bh_rpt[6]/bh1","11","471"
