"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","8","4"
"enum_confirm_grp[1]/enum_details","1","12"
"enum_confirm_grp[1]/enum_confirm","1","12"
"community_id","14","13"
"comm_confirm_grp[1]/comm_details","2","27"
"comm_confirm_grp[1]/comm_confirm","2","27"
"iw_iden_grp[1]/iw_id","55","28"
"iw_iden_grp[1]/iw_fullname","55","28"
"iw_iden_grp[1]/iw_age","55","28"
"wm8","14","84"
"wm9_grp[1]/wm9b","3","98"
"wm9_grp[1]/consent","3","98"
"consented_grp[1]/wb3_age_sel","12","101"
"consented_grp[1]/wb3_dob_dmy","3","112"
"consented_grp[1]/wb4_age_est","3","116"
"consented_grp[1]/wb5","15","119"
"consented_grp[1]/wb5_grp[1]/wb6","4","127"
"consented_grp[1]/wb5_grp[1]/wb6a","5","129"
"consented_grp[1]/wb5_grp[1]/wb6b","6","132"
"consented_grp[1]/wb5_grp[1]/wb7","6","137"
"consented_grp[1]/wb5_grp[1]/wb9","21","140"
"consented_grp[1]/wb5_grp[1]/wb10a","21","145"
"consented_grp[1]/wb5_grp[1]/wb10b","18","162"
"consented_grp[1]/wb5_grp[1]/wb11","10","165"
"consented_grp[1]/wb5_grp[1]/wb12a","13","172"
"consented_grp[1]/wb5_grp[1]/wb12b","6","179"
"consented_grp[1]/wb14_grp[1]/wb14_note","55","181"
"consented_grp[1]/wb14_grp[1]/wb14","55","181"
"consented_grp[1]/wb15","24","233"
"consented_grp[1]/wb16_grp[1]/wb16a","40","253"
"consented_grp[1]/wb16_grp[1]/wb16_note","40","253"
"consented_grp[1]/wb16_grp[1]/wb16b","40","253"
"consented_grp[1]/wb17a","16","290"
"consented_grp[1]/wb17b","4","301"
"consented_grp[1]/wb18","27","303"
"consented_grp[1]/mt1","9","329"
"consented_grp[1]/mt2","45","337"
"consented_grp[1]/mt3","11","377"
"consented_grp[1]/mt4","17","386"
"consented_grp[1]/mt9","12","398"
"consented_grp[1]/mt11","12","409"
"consented_grp[1]/mt12","36","418"
"consented_grp[1]/cm1","69","449"
"consented_grp[1]/cm2","54","493"
"consented_grp[1]/cm5","25","537"
"consented_grp[1]/cm8","38","540"
"consented_grp[1]/cm8_grp[1]/cm9","57","557"
"consented_grp[1]/cm8_grp[1]/cm10","57","557"
"consented_grp[1]/cm12","31","593"
"consented_grp[1]/cm2_grp[1]/cm3","11","627"
"consented_grp[1]/cm2_grp[1]/cm4","11","627"
"consented_grp[1]/bh0","29","663"
"consented_grp[1]/bh_rpt[1]/bh1","34","689"
"consented_grp[1]/bh_rpt[1]/bh2","9","718"
"consented_grp[1]/bh_rpt[1]/bh3","14","724"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","12","727"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","31","733"
"consented_grp[1]/bh_rpt[1]/bh5","8","762"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_note","27","765"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_a","27","765"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_b","27","765"
"consented_grp[1]/bh_rpt[1]/bh10","12","786"
"consented_grp[1]/bh_rpt[2]/bh1","31","790"
"consented_grp[1]/bh_rpt[2]/bh2","9","816"
"consented_grp[1]/bh_rpt[2]/bh3","10","822"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","7","826"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","19","830"
"consented_grp[1]/bh_rpt[2]/bh5","9","844"
"consented_grp[1]/bh_rpt[2]/bh9_grp[1]/bh9_note","36","847"
"consented_grp[1]/bh_rpt[2]/bh9_grp[1]/bh9_a","36","847"
"consented_grp[1]/bh_rpt[2]/bh9_grp[1]/bh9_b","36","847"
"consented_grp[1]/bh_rpt[2]/bh10","7","874"
"consented_grp[1]/bh_rpt[3]/bh1","32","878"
"consented_grp[1]/bh_rpt[3]/bh2","11","905"
"consented_grp[1]/bh_rpt[3]/bh3","10","911"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","8","913"
"consented_grp[1]/bh_rpt[3]/bh4_dob_my","54","917"
"consented_grp[1]/bh_rpt[3]/bh5","14","943"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_note","29","1040"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_a","29","1040"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_b","29","1040"
"consented_grp[1]/bh_rpt[3]/bh10","8","1085"
"consented_grp[1]/bh_rpt[4]/bh1","22","1090"
"consented_grp[1]/bh_rpt[4]/bh2","4","1107"
"consented_grp[1]/bh_rpt[4]/bh3","10","1110"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","8","1113"
"consented_grp[1]/bh_rpt[4]/bh4_dob_dmy","183","1118"
"consented_grp[1]/bh_rpt[4]/bh5","5","1136"
"consented_grp[1]/bh_rpt[4]/bh6","19","1139"
"consented_grp[1]/bh_rpt[4]/bh7","6","1150"
"consented_grp[1]/bh_rpt[4]/bh8","19","1154"
"consented_grp[1]/bh_rpt[4]/bh10","26","1168"
"consented_grp[1]/db2","42","1189"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","21","1223"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","27","1239"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","22","1263"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","22","1263"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","62","1279"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","55","1332"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","55","1332"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","55","1332"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","55","1332"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","55","1332"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","27","1380"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","24","1402"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","13","1418"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","14","1428"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","14","1440"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","70","1450"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","34","1514"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","31","1545"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","15","1571"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","16","1581"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","15","1595"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","29","1608"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","48","1636"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","30","1665"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","33","1706"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31_osp","21","1720"
