"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","8","3"
"enum_confirm_grp[1]/enum_details","1","11"
"enum_confirm_grp[1]/enum_confirm","1","11"
"community_id","23","12"
"comm_confirm_grp[1]/comm_details","2","35"
"comm_confirm_grp[1]/comm_confirm","2","35"
"u5_iden_grp[1]/u5_id","75","37"
"u5_iden_grp[1]/u5_fullname","75","37"
"u5_iden_grp[1]/u5_age","75","37"
"u5_iden_grp[1]/u5_ct_id","75","37"
"u5_iden_grp[1]/u5_ct_fullname","75","37"
"uf9","2","112"
"consent_grp[1]/consent","2","115"
"consented_grp[1]/ub0","1","117"
"consented_grp[1]/ub1_age_sel","3","118"
"consented_grp[1]/ub1_dob_dmy","18","121"
"consented_grp[1]/ub5","7","138"
"consented_grp[1]/ub6","1","145"
"consented_grp[1]/ub9","9","146"
"consented_grp[1]/br1","13","149"
"consented_grp[1]/br2","8","169"
"consented_grp[1]/br3","2","178"
"consented_grp[1]/ec1","7","180"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","31","187"
"consented_grp[1]/ec2_grp[1]/ec2_label","31","187"
"consented_grp[1]/ec2_grp[1]/ec2a","31","187"
"consented_grp[1]/ec2_grp[1]/ec2b","31","187"
"consented_grp[1]/ec2_grp[1]/ec2c","31","187"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","37","219"
"consented_grp[1]/ec3_grp[1]/ec3a","37","219"
"consented_grp[1]/ec3_grp[1]/ec3b","37","219"
"consented_grp[1]/ec5_grp[1]/ec5","116","256"
"consented_grp[1]/ec5_grp[1]/ec5_label","116","256"
"consented_grp[1]/ec5_grp[1]/ec5a","116","256"
"consented_grp[1]/ec5_grp[1]/ec5b","116","256"
"consented_grp[1]/ec5_grp[1]/ec5c","116","256"
"consented_grp[1]/ec5_grp[1]/ec5d","116","256"
"consented_grp[1]/ec5_grp[1]/ec5e","116","256"
"consented_grp[1]/ec5_grp[1]/ec5f","116","256"
"consented_grp[1]/ec6_grp[1]/ec6_note","64","372"
"consented_grp[1]/ec6_grp[1]/ec6","64","372"
"consented_grp[1]/ec7","6","436"
"consented_grp[1]/ec8","3","439"
"consented_grp[1]/ec9","4","445"
"consented_grp[1]/ec10","7","449"
"consented_grp[1]/ec11","17","456"
"consented_grp[1]/ec12","2","473"
"consented_grp[1]/ec13","12","475"
"consented_grp[1]/ec14","3","487"
"consented_grp[1]/ec15","12","489"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","126","501"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","126","501"
"consented_grp[1]/ucd2_grp[1]/ucd2a","126","501"
"consented_grp[1]/ucd2_grp[1]/ucb2b","126","501"
"consented_grp[1]/ucd2_grp[1]/ucb2c","126","501"
"consented_grp[1]/ucd2_grp[1]/ucb2d","126","501"
"consented_grp[1]/ucd2_grp[1]/ucb2e","126","501"
"consented_grp[1]/ucd2_grp[1]/ucb2f","126","501"
"consented_grp[1]/ucd2_grp[1]/ucb2g","126","501"
"consented_grp[1]/ucd2_grp[1]/ucb2h","126","501"
"consented_grp[1]/ucd2_grp[1]/ucb2i","126","501"
"consented_grp[1]/ucd2_grp[1]/ucb2j","126","501"
"consented_grp[1]/ucd3","37","627"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","20","664"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","20","664"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","20","664"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","20","664"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","20","664"
"consented_grp[1]/ucf_grp[1]/ucf5","15","684"
"consented_grp[1]/ucf_grp[1]/ucf7b","5","700"
"consented_grp[1]/ucf_grp[1]/ucf9b","3","705"
"consented_grp[1]/ucf_grp[1]/ucf13","11","708"
"consented_grp[1]/ucf_grp[1]/ucf14","7","719"
"consented_grp[1]/ucf_grp[1]/ucf15","6","726"
"consented_grp[1]/ucf_grp[1]/ucf16","5","733"
"consented_grp[1]/ucf_grp[1]/ucf17","20","737"
"consented_grp[1]/ucf_grp[1]/ucf18","13","747"
"consented_grp[1]/ucf_grp[1]/ucf19","58","771"
"consented_grp[1]/im2","4","829"
"consented_grp[1]/im5","2","833"
"consented_grp[1]/im6_note","1","835"
"consented_grp[1]/im6_rpt[1]/im6","3","836"
"consented_grp[1]/im6_rpt[1]/im6a","62","839"
"consented_grp[1]/im6_rpt[2]/im6","3","860"
"consented_grp[1]/im6_rpt[2]/im6a","12","862"
"consented_grp[1]/im6_rpt[3]/im6","9","870"
"consented_grp[1]/im6_rpt[3]/im6a","8","879"
"consented_grp[1]/im6_rpt[4]/im6","3","886"
"consented_grp[1]/im6_rpt[4]/im6a","7","887"
"consented_grp[1]/im6_rpt[5]/im6","1","893"
"consented_grp[1]/im6_rpt[5]/im6a","7","894"
"consented_grp[1]/im6_rpt[6]/im6","2","899"
"consented_grp[1]/im6_rpt[6]/im6a","6","900"
"consented_grp[1]/im6_rpt[7]/im6","4","905"
"consented_grp[1]/im6_rpt[7]/im6a","11","908"
"consented_grp[1]/im6_rpt[8]/im6","3","917"
"consented_grp[1]/im6_rpt[8]/im6a","6","919"
"consented_grp[1]/im6_rpt[9]/im6","2","923"
"consented_grp[1]/im6_rpt[9]/im6a","8","924"
"consented_grp[1]/im6_rpt[10]/im6","3","929"
"consented_grp[1]/im6_rpt[10]/im6a","7","931"
"consented_grp[1]/im6_rpt[11]/im6","6","935"
"consented_grp[1]/im6_rpt[11]/im6a","17","940"
"consented_grp[1]/im6_rpt[12]/im6","2","951"
"consented_grp[1]/im6_rpt[12]/im6a","9","952"
"consented_grp[1]/im6_rpt[13]/im6","2","960"
"consented_grp[1]/im6_rpt[13]/im6a","10","962"
"consented_grp[1]/im6_rpt[14]/im6","7","970"
"consented_grp[1]/im6_rpt[14]/im6a","21","976"
"consented_grp[1]/im6_rpt[15]/im6","2","993"
"consented_grp[1]/im6_rpt[15]/im6a","19","995"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_note","54","1012"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_label","54","1012"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8a","54","1012"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8b","54","1012"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8c","54","1012"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8d","54","1012"
"consented_grp[1]/im8_im27_grp[1]/im9","16","1066"
"consented_grp[1]/ca1","11","1080"
"consented_grp[1]/ca14","3","1090"
"consented_grp[1]/ca16","3","1093"
"consented_grp[1]/ca17","10","1096"
"consented_grp[1]/gps_backup","1902","1101"
"comments","11","1109"
