"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","37"
"enum_id","5","38"
"enum_confirm_grp[1]/enum_details","1","43"
"enum_confirm_grp[1]/enum_confirm","1","43"
"community_id","24","44"
"comm_confirm_grp[1]/comm_details","1","68"
"comm_confirm_grp[1]/comm_confirm","1","68"
"iw_iden_grp[1]/iw_id","34","69"
"iw_iden_grp[1]/iw_fullname","34","69"
"iw_iden_grp[1]/iw_age","34","69"
"wm8","3","103"
"wm9_grp[1]/wm9b","2","105"
"wm9_grp[1]/consent","2","105"
"consented_grp[1]/wb3_age_sel","2","107"
"consented_grp[1]/wb3_dob_dmy","41","109"
"consented_grp[1]/wb5","7","150"
"consented_grp[1]/wb5_grp[1]/wb6","2","157"
"consented_grp[1]/wb5_grp[1]/wb6a","9","158"
"consented_grp[1]/wb5_grp[1]/wb6b","2","167"
"consented_grp[1]/wb5_grp[1]/wb7","1","169"
"consented_grp[1]/wb5_grp[1]/wb10a","1","170"
"consented_grp[1]/wb5_grp[1]/wb10b","1","171"
"consented_grp[1]/wb5_grp[1]/wb12a","1","172"
"consented_grp[1]/wb5_grp[1]/wb12b","1","174"
"consented_grp[1]/wb15","16","174"
"consented_grp[1]/wb16_grp[1]/wb16a","150","190"
"consented_grp[1]/wb16_grp[1]/wb16_note","150","190"
"consented_grp[1]/wb16_grp[1]/wb16b","150","190"
"consented_grp[1]/wb17a","3","340"
"consented_grp[1]/wb17b","2","342"
"consented_grp[1]/wb18","26","344"
"consented_grp[1]/mt1","2","370"
"consented_grp[1]/mt2","4","372"
"consented_grp[1]/mt3","4","376"
"consented_grp[1]/mt4","8","380"
"consented_grp[1]/mt9","10","388"
"consented_grp[1]/mt10","2","398"
"consented_grp[1]/mt11","4","400"
"consented_grp[1]/mt12","4","402"
"consented_grp[1]/cm1","2","408"
"consented_grp[1]/cm2","14","410"
"consented_grp[1]/cm5","4","424"
"consented_grp[1]/cm5_grp[1]/cm6","6","428"
"consented_grp[1]/cm5_grp[1]/cm7","6","428"
"consented_grp[1]/cm8","63","434"
"consented_grp[1]/cm12","6","442"
"consented_grp[1]/cm8_grp[1]/cm9","14","498"
"consented_grp[1]/cm8_grp[1]/cm10","14","498"
"consented_grp[1]/bh0","2","516"
"consented_grp[1]/bh_rpt[1]/bh1","47","518"
"consented_grp[1]/bh_rpt[1]/bh2","3","563"
"consented_grp[1]/bh_rpt[1]/bh3","3","565"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","20","567"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","14","585"
"consented_grp[1]/bh_rpt[1]/bh5","15","591"
"consented_grp[1]/bh_rpt[1]/bh6","26","605"
"consented_grp[1]/bh_rpt[1]/bh7","6","619"
"consented_grp[1]/bh_rpt[1]/bh10","4","641"
"consented_grp[1]/bh_rpt[2]/bh1","9","644"
"consented_grp[1]/bh_rpt[2]/bh2","3","653"
"consented_grp[1]/bh_rpt[2]/bh3","3","654"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","92","656"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","27","746"
"consented_grp[1]/bh_rpt[2]/bh5","4","768"
"consented_grp[1]/bh_rpt[2]/bh9_grp[1]/bh9_note","39","771"
"consented_grp[1]/bh_rpt[2]/bh9_grp[1]/bh9_a","39","771"
"consented_grp[1]/bh_rpt[2]/bh9_grp[1]/bh9_b","39","771"
"consented_grp[1]/bh_rpt[2]/bh10","3","783"
"consented_grp[1]/db2","2041","784"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","4","789"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","4","793"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","10","797"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","10","797"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","34","807"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","13","840"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","13","840"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","13","840"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","13","840"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","13","840"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","2","853"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","7","855"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","4","862"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn11","2","866"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","11","868"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","1","879"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","4","880"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","15","885"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","3","899"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","4","902"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","4","906"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","4","910"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","1","913"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","32","915"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","16","947"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","2","963"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","13","965"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","11","973"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","15","988"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","15","988"
