"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","4"
"enum_id","7","6"
"enum_confirm_grp[1]/enum_details","1","14"
"enum_confirm_grp[1]/enum_confirm","1","14"
"community_id","35","15"
"comm_confirm_grp[1]/comm_details","3","50"
"comm_confirm_grp[1]/comm_confirm","3","50"
"hhid_grp[1]/hhid_instruction","17","53"
"hhid_grp[1]/hhid_struct_num","17","53"
"hhid_grp[1]/hhid_hh_num","17","53"
"hhid_confirm_grp[1]/hhid_details","4","70"
"hhid_confirm_grp[1]/hhid_confirm","4","70"
"consent_grp[1]/consent_instr","4","74"
"consent_grp[1]/consent","4","74"
"consented_grp[1]/hh_note","2","78"
"consented_grp[1]/hhm_cnt","5","79"
"consented_grp[1]/rooster_note","2","84"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","48","86"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","48","86"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","48","86"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","7","134"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","141"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","144"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","50","146"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","2","196"
"consented_grp[1]/hhm_rpt[1]/ed4","127","199"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","12","326"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","12","326"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","24","338"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","24","338"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","24","338"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","3","362"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","365"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","2","367"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","32","368"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","4","395"
"consented_grp[1]/hhm_rpt[2]/ed4","3","397"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","21","399"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","21","399"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","15","428"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","15","428"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","15","428"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","12","442"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","2","455"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","3","457"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","24","459"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","2","483"
"consented_grp[1]/hhm_rpt[3]/ed4","2","485"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","2","486"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","2","488"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","2","490"
