"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","9","4"
"enum_confirm_grp[1]/enum_details","1","13"
"enum_confirm_grp[1]/enum_confirm","1","13"
"community_id","46","14"
"comm_confirm_grp[1]/comm_details","1","60"
"comm_confirm_grp[1]/comm_confirm","1","60"
"iw_iden_grp[1]/iw_id","112","61"
"iw_iden_grp[1]/iw_fullname","112","61"
"iw_iden_grp[1]/iw_age","112","61"
"wm8","3","173"
"wm9_grp[1]/wm9a","147","176"
"wm9_grp[1]/consent","147","176"
"consented_grp[1]/wb3_age_sel","3","322"
"consented_grp[1]/wb4_age_est","2","326"
"consented_grp[1]/wb5","3","328"
"consented_grp[1]/wb5_grp[1]/wb6","4","331"
"consented_grp[1]/wb5_grp[1]/wb6a","4","334"
"consented_grp[1]/wb5_grp[1]/wb6b","2","339"
"consented_grp[1]/wb5_grp[1]/wb7","2","340"
"consented_grp[1]/wb5_grp[1]/wb9","2","342"
"consented_grp[1]/wb5_grp[1]/wb10","7","344"
"consented_grp[1]/wb5_grp[1]/wb10a","10","348"
"consented_grp[1]/wb5_grp[1]/wb10b","19","361"
"consented_grp[1]/wb5_grp[1]/wb11","9","367"
"consented_grp[1]/wb5_grp[1]/wb12","5","371"
"consented_grp[1]/wb5_grp[1]/wb12a","7","373"
"consented_grp[1]/wb5_grp[1]/wb12b","11","378"
"consented_grp[1]/wb15","12","412"
"consented_grp[1]/wb18","3","424"
"consented_grp[1]/mt1","2","427"
"consented_grp[1]/mt2","4","429"
"consented_grp[1]/mt3","5","433"
"consented_grp[1]/mt4","2","438"
"consented_grp[1]/mt9","2","440"
"consented_grp[1]/mt11","3","441"
"consented_grp[1]/mt12","7","444"
"consented_grp[1]/cm1","7","451"
"consented_grp[1]/cm8","3","458"
"consented_grp[1]/cm12","6","461"
"consented_grp[1]/cp1_grp[1]/cp1_note","4","467"
"consented_grp[1]/cp1_grp[1]/cp1","4","467"
"consented_grp[1]/cp2_grp[1]/cp2_note","19","471"
"consented_grp[1]/cp2_grp[1]/cp2","19","471"
"consented_grp[1]/cp4","4","491"
"consented_grp[1]/un7","14","494"
"consented_grp[1]/un8_grp[1]/un8","5","508"
"consented_grp[1]/un8_grp[1]/un8_units","5","508"
"consented_grp[1]/ma1","13","514"
"consented_grp[1]/ma2","9","527"
"consented_grp[1]/ma3","9","532"
"consented_grp[1]/ma7","3","545"
"consented_grp[1]/ma8a","19","548"
"consented_grp[1]/ma11a","5","568"
"consented_grp[1]/af_grp[1]/af2","4","573"
"consented_grp[1]/af_grp[1]/af3","4","577"
"consented_grp[1]/af_grp[1]/af4","3","579"
"consented_grp[1]/af_grp[1]/af6b","6","581"
"consented_grp[1]/af_grp[1]/af8b","7","585"
"consented_grp[1]/af_grp[1]/af9","8","590"
"consented_grp[1]/af_grp[1]/af10","13","597"
"consented_grp[1]/af_grp[1]/af11","12","604"
"consented_grp[1]/af_grp[1]/af12","25","615"
"consented_grp[1]/ls1_grp[1]/ls_note","49","638"
"consented_grp[1]/ls1_grp[1]/ls1","49","638"
"consented_grp[1]/ls2_grp[1]/ls2_note","45","685"
"consented_grp[1]/ls2_grp[1]/ls2","45","685"
"consented_grp[1]/ls3","31","729"
"consented_grp[1]/ls4","14","755"
"consented_grp[1]/survey_language","4","768"
"consented_grp[1]/survey_accomp","15","771"
"consented_grp[1]/comment","26","774"
