"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","8","2"
"enum_confirm_grp[1]/enum_details","3","9"
"enum_confirm_grp[1]/enum_confirm","3","9"
"community_id","9","10"
"comm_confirm_grp[1]/comm_details","2","16"
"comm_confirm_grp[1]/comm_confirm","2","16"
"iw_iden_grp[1]/iw_id","71","17"
"iw_iden_grp[1]/iw_fullname","71","17"
"iw_iden_grp[1]/iw_age","71","17"
"wm8","7","62"
"wm9_grp[1]/wm9b","4","65"
"wm9_grp[1]/consent","4","65"
"consented_grp[1]/wb3_age_sel","9","67"
"consented_grp[1]/wb3_dob_dmy","50","73"
"consented_grp[1]/age_correct_info","34","93"
"consented_grp[1]/wb5","6","139"
"consented_grp[1]/wb5_grp[1]/wb6","4","144"
"consented_grp[1]/wb5_grp[1]/wb6a","12","146"
"consented_grp[1]/wb5_grp[1]/wb6b","6","154"
"consented_grp[1]/wb5_grp[1]/wb7","4","158"
"consented_grp[1]/wb5_grp[1]/wb10a","5","161"
"consented_grp[1]/wb5_grp[1]/wb10b","2","164"
"consented_grp[1]/wb5_grp[1]/wb12a","4","166"
"consented_grp[1]/wb5_grp[1]/wb12b","6","167"
"consented_grp[1]/wb15","31","172"
"consented_grp[1]/wb16_grp[1]/wb16a","51","196"
"consented_grp[1]/wb16_grp[1]/wb16_note","51","196"
"consented_grp[1]/wb16_grp[1]/wb16b","51","196"
"consented_grp[1]/wb17a","6","245"
"consented_grp[1]/wb17b","5","249"
"consented_grp[1]/wb18","11","252"
"consented_grp[1]/mt1","18","261"
"consented_grp[1]/mt2","20","277"
"consented_grp[1]/mt3","20","297"
"consented_grp[1]/mt4","14","316"
"consented_grp[1]/mt9","14","329"
"consented_grp[1]/mt10","29","342"
"consented_grp[1]/mt11","8","368"
"consented_grp[1]/mt12","21","372"
"consented_grp[1]/cm1","51","391"
"consented_grp[1]/cm2","12","441"
"consented_grp[1]/cm2_grp[1]/cm3","19","452"
"consented_grp[1]/cm2_grp[1]/cm4","19","452"
"consented_grp[1]/cm5","26","469"
"consented_grp[1]/cm5_grp[1]/cm6","9","494"
"consented_grp[1]/cm5_grp[1]/cm7","9","494"
"consented_grp[1]/cm8","26","503"
"consented_grp[1]/cm12","18","527"
"consented_grp[1]/bh0","23","543"
"consented_grp[1]/bh_rpt[1]/bh1","31","565"
"consented_grp[1]/bh_rpt[1]/bh2","10","585"
"consented_grp[1]/bh_rpt[1]/bh3","8","592"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","12","597"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","19","618"
"consented_grp[1]/bh_rpt[1]/bh5","7","634"
"consented_grp[1]/bh_rpt[1]/bh6","13","640"
"consented_grp[1]/bh_rpt[1]/bh7","7","644"
"consented_grp[1]/bh_rpt[1]/bh8","28","650"
"consented_grp[1]/bh_rpt[1]/bh10","17","676"
"consented_grp[1]/bh_rpt[2]/bh1","17","693"
"consented_grp[1]/bh_rpt[2]/bh2","5","709"
"consented_grp[1]/bh_rpt[2]/bh3","3","713"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","7","716"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","21","722"
"consented_grp[1]/bh_rpt[2]/bh5","4","741"
"consented_grp[1]/bh_rpt[2]/bh6","23","744"
"consented_grp[1]/bh_rpt[2]/bh7","6","765"
"consented_grp[1]/bh_rpt[2]/bh10","16","770"
"consented_grp[1]/bh_rpt[3]/bh1","23","782"
"consented_grp[1]/bh_rpt[3]/bh2","5","803"
"consented_grp[1]/bh_rpt[3]/bh3","5","807"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","7","809"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","17","814"
"consented_grp[1]/bh_rpt[3]/bh5","7","829"
"consented_grp[1]/bh_rpt[3]/bh6","2","834"
"consented_grp[1]/bh_rpt[3]/bh7","14","836"
"consented_grp[1]/bh_rpt[3]/bh8","19","843"
"consented_grp[1]/bh_rpt[3]/bh10","12","860"
"consented_grp[1]/db2","12","871"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","10","882"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","9","891"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","25","898"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","25","898"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","28","921"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","39","947"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","39","947"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","39","947"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","39","947"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","39","947"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","130","984"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","25","1111"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","18","1133"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","12","1149"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","7","1160"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","20","1166"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","20","1184"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","22","1197"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","7","1218"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","15","1224"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","14","1237"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","13","1250"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","47","1261"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","14","1306"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","51","1319"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","12","1367"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","8","1376"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","8","1376"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","13","1383"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","9","1394"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","20","1400"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","20","1400"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","18","1419"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","13","1432"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","30","1444"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","30","1444"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","25","1470"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","25","1470"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pm5_note","17","1493"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pn5","17","1493"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6_note","22","1509"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6","22","1509"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn17","16","1530"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_note","38","1545"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_lab","38","1545"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25a","38","1545"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25b","38","1545"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25c","38","1545"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn27","8","1581"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn29a","36","1588"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn30","30","1611"
"consented_grp[1]/cp1_grp[1]/cp1_note","15","1640"
"consented_grp[1]/cp1_grp[1]/cp1","15","1640"
"consented_grp[1]/cp2_grp[1]/cp2_note","65","1653"
"consented_grp[1]/cp2_grp[1]/cp2","65","1653"
