"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","295","3"
"enum_confirm_grp[1]/enum_details","1","298"
"enum_confirm_grp[1]/enum_confirm","1","298"
"community_id","7","299"
"comm_confirm_grp[1]/comm_details","1","306"
"comm_confirm_grp[1]/comm_confirm","1","306"
"u5_iden_grp[1]/u5_id","158","307"
"u5_iden_grp[1]/u5_fullname","158","307"
"u5_iden_grp[1]/u5_age","158","307"
"u5_iden_grp[1]/u5_ct_id","158","307"
"u5_iden_grp[1]/u5_ct_fullname","158","307"
"gm1_a","2","465"
"gmobs1","4","468"
"gmobs2","1","472"
"an8","64","473"
"an9","7","520"
"an11_grp[1]/an11_a","8","544"
"an11_grp[1]/an11","8","544"
"an12","3","552"
"an13","16","555"
"an15","1","570"
