"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","7","3"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","47","11"
"comm_confirm_grp[1]/comm_details","3","26"
"comm_confirm_grp[1]/comm_confirm","3","26"
"iw_iden_grp[1]/iw_id","26","61"
"iw_iden_grp[1]/iw_fullname","26","61"
"iw_iden_grp[1]/iw_age","26","61"
"wm8","2","87"
"wm9_grp[1]/wm9b","1","89"
"wm9_grp[1]/consent","1","89"
"consented_grp[1]/wb3_age_sel","5","91"
"consented_grp[1]/wb3_dob_y","5","96"
"consented_grp[1]/wb5","2","101"
"consented_grp[1]/wb5_grp[1]/wb6","1","102"
"consented_grp[1]/wb5_grp[1]/wb6a","2","104"
"consented_grp[1]/wb5_grp[1]/wb6b","1","105"
"consented_grp[1]/wb5_grp[1]/wb7","1","107"
"consented_grp[1]/wb5_grp[1]/wb9","2","108"
"consented_grp[1]/wb5_grp[1]/wb10a","2","110"
"consented_grp[1]/wb5_grp[1]/wb10b","1","112"
"consented_grp[1]/wb5_grp[1]/wb11","9","113"
"consented_grp[1]/wb5_grp[1]/wb12a","9","122"
"consented_grp[1]/wb5_grp[1]/wb12b","1","131"
"consented_grp[1]/wb14_grp[1]/wb14_note","7","131"
"consented_grp[1]/wb14_grp[1]/wb14","7","131"
"consented_grp[1]/wb15","58","138"
"consented_grp[1]/wb16_grp[1]/wb16a","11","175"
"consented_grp[1]/wb16_grp[1]/wb16_note","11","175"
"consented_grp[1]/wb16_grp[1]/wb16b","11","175"
"consented_grp[1]/wb17a","28","185"
"consented_grp[1]/wb17b","3","212"
"consented_grp[1]/wb18","3","214"
"consented_grp[1]/mt1","2","217"
"consented_grp[1]/mt2","2","218"
"consented_grp[1]/mt3","2","219"
"consented_grp[1]/mt4","2","220"
"consented_grp[1]/mt9","2","222"
"consented_grp[1]/mt11","4","223"
"consented_grp[1]/mt12","3","226"
"consented_grp[1]/cm1","2","228"
"consented_grp[1]/cm2","2","229"
"consented_grp[1]/cm2_grp[1]/cm3","6","231"
"consented_grp[1]/cm2_grp[1]/cm4","6","231"
"consented_grp[1]/cm5","3","234"
"consented_grp[1]/cm8","3","237"
"consented_grp[1]/cm12","2","238"
"consented_grp[1]/bh0","2","239"
"consented_grp[1]/bh_rpt[1]/bh1","28","240"
"consented_grp[1]/bh_rpt[1]/bh2","4","266"
"consented_grp[1]/bh_rpt[1]/bh3","3","267"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","2","269"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","10","270"
"consented_grp[1]/bh_rpt[1]/bh5","7","278"
"consented_grp[1]/bh_rpt[1]/bh6","1","334"
"consented_grp[1]/bh_rpt[1]/bh7","1","335"
"consented_grp[1]/bh_rpt[1]/bh8","3","336"
"consented_grp[1]/bh_rpt[1]/bh10","2","339"
"consented_grp[1]/db2","16","341"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","2","358"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","1","360"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","5","361"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","5","361"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","4","367"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","3","370"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","3","370"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","3","370"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","3","370"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","3","370"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","2","373"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","1","375"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","7","377"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","1","384"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","10","385"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","2","395"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","2","397"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","4","399"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","2","402"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","6","404"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","11","410"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","4","418"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","31","426"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","4","457"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","1","461"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","16","462"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","4","471"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","8","482"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","8","482"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","7","489"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","13","496"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","20","509"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","20","509"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","4","529"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","1","533"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","10","534"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","10","534"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","6","538"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","6","538"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pm5_note","2","549"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pn5","2","549"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6_note","2","550"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6","2","550"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn17","2","552"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_note","4","554"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_lab","4","554"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25a","4","554"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25b","4","554"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25c","4","554"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn27","2","557"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn29a","3","560"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn30","1","563"
"consented_grp[1]/cp1_grp[1]/cp1_note","2","564"
"consented_grp[1]/cp1_grp[1]/cp1","2","564"
"consented_grp[1]/cp2_grp[1]/cp2_note","4","566"
"consented_grp[1]/cp2_grp[1]/cp2","4","566"
"consented_grp[1]/cp3","6","570"
"consented_grp[1]/un7","2","576"
"consented_grp[1]/un8_grp[1]/un8","19","577"
"consented_grp[1]/un8_grp[1]/un8_units","19","577"
"consented_grp[1]/ma1","21","597"
"consented_grp[1]/ma2","5","618"
"consented_grp[1]/ma3","2","623"
"consented_grp[1]/ma7","2","625"
"consented_grp[1]/ma8a","92","628"
"consented_grp[1]/ma11a","9","719"
"consented_grp[1]/af_grp[1]/af2","1","728"
"consented_grp[1]/af_grp[1]/af3","1","729"
"consented_grp[1]/af_grp[1]/af4","1","731"
"consented_grp[1]/af_grp[1]/af6b","1","732"
"consented_grp[1]/af_grp[1]/af8b","1","733"
"consented_grp[1]/af_grp[1]/af9","1","735"
"consented_grp[1]/af_grp[1]/af10","1","736"
"consented_grp[1]/af_grp[1]/af11","1","737"
"consented_grp[1]/af_grp[1]/af12","1","738"
"consented_grp[1]/ls1_grp[1]/ls_note","2","739"
"consented_grp[1]/ls1_grp[1]/ls1","2","739"
"consented_grp[1]/ls2_grp[1]/ls2_note","4","741"
"consented_grp[1]/ls2_grp[1]/ls2","4","741"
"consented_grp[1]/ls3","1","745"
"consented_grp[1]/ls4","1","746"
"consented_grp[1]/survey_language","2","748"
"consented_grp[1]/survey_accomp","2","749"
"consented_grp[1]/comment","1465","751"
