"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","3","2"
"enum_confirm_grp[1]/enum_details","1","5"
"enum_confirm_grp[1]/enum_confirm","1","5"
"community_id","7","6"
"comm_confirm_grp[1]/comm_details","2","13"
"comm_confirm_grp[1]/comm_confirm","2","13"
"u5_iden_grp[1]/u5_id","94","14"
"u5_iden_grp[1]/u5_fullname","94","14"
"u5_iden_grp[1]/u5_age","94","14"
"u5_iden_grp[1]/u5_ct_id","94","14"
"u5_iden_grp[1]/u5_ct_fullname","94","14"
"gm1_a","2","109"
"gmobs1","2","111"
"gmobs2","2","113"
"an8","13","115"
"an9","2","127"
"an11_grp[1]/an11_b","13","130"
"an11_grp[1]/an11","13","130"
"an12","6","139"
"an13","7","142"
"an15","2","146"
