"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","9"
"enum_id","6","10"
"enum_confirm_grp[1]/enum_details","1","16"
"enum_confirm_grp[1]/enum_confirm","1","16"
"community_id","7","17"
"comm_confirm_grp[1]/comm_details","1","24"
"comm_confirm_grp[1]/comm_confirm","1","24"
"u5_iden_grp[1]/u5_id","112","26"
"u5_iden_grp[1]/u5_fullname","112","26"
"u5_iden_grp[1]/u5_age","112","26"
"u5_iden_grp[1]/u5_ct_id","112","26"
"u5_iden_grp[1]/u5_ct_fullname","112","26"
"gm1_a","4","135"
"gmobs1","1","141"
"gmobs2","2","142"
"an8","110","143"
"an9","2","255"
"an11_grp[1]/an11_a","8","257"
"an11_grp[1]/an11","8","257"
"an12","11","265"
"an13","3","276"
"an15","1","278"
