"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","4","3"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","8","9"
"comm_confirm_grp[1]/comm_details","1","16"
"comm_confirm_grp[1]/comm_confirm","1","16"
"iw_iden_grp[1]/iw_id","83","18"
"iw_iden_grp[1]/iw_fullname","83","18"
"iw_iden_grp[1]/iw_age","83","18"
"wm8","9","95"
"wm9_grp[1]/wm9b","1","99"
"wm9_grp[1]/consent","55","99"
"wm9_grp[1]/wm9a","54","102"
"consented_grp[1]/wb3_age_sel","6","148"
"consented_grp[1]/wb3_dob_dmy","61","151"
"consented_grp[1]/age_correct_info","3","210"
"consented_grp[1]/wb5","11","234"
"consented_grp[1]/wb14_grp[1]/wb14_note","6","246"
"consented_grp[1]/wb14_grp[1]/wb14","6","246"
"consented_grp[1]/wb15","13","251"
"consented_grp[1]/wb16_grp[1]/wb16a","49","265"
"consented_grp[1]/wb16_grp[1]/wb16_note","49","265"
"consented_grp[1]/wb16_grp[1]/wb16b","49","265"
"consented_grp[1]/wb17a","6","314"
"consented_grp[1]/wb17b","3","319"
"consented_grp[1]/wb18","19","322"
"consented_grp[1]/mt1","4","341"
"consented_grp[1]/mt2","2","345"
"consented_grp[1]/mt3","17","347"
"consented_grp[1]/mt4","5","364"
"consented_grp[1]/mt9","2","369"
"consented_grp[1]/mt11","6","371"
"consented_grp[1]/mt12","5","377"
"consented_grp[1]/cm1","22","382"
"consented_grp[1]/cm2","21","405"
"consented_grp[1]/cm2_grp[1]/cm3","56","426"
"consented_grp[1]/cm2_grp[1]/cm4","56","426"
"consented_grp[1]/cm5","5","482"
"consented_grp[1]/cm8","13","486"
"consented_grp[1]/cm8_grp[1]/cm9","7","499"
"consented_grp[1]/cm8_grp[1]/cm10","7","499"
"consented_grp[1]/cm12","3","506"
"consented_grp[1]/bh0","3","509"
"consented_grp[1]/bh_rpt[1]/bh1","26","512"
"consented_grp[1]/bh_rpt[1]/bh2","3","538"
"consented_grp[1]/bh_rpt[1]/bh3","3","541"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","28","544"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","19","572"
"consented_grp[1]/bh_rpt[1]/bh5","8","583"
"consented_grp[1]/bh_rpt[1]/bh6","21","598"
"consented_grp[1]/bh_rpt[1]/bh7","20","604"
"consented_grp[1]/bh_rpt[1]/bh8","2","628"
"consented_grp[1]/bh_rpt[1]/bh10","5","632"
"consented_grp[1]/bh_rpt[2]/bh1","11","634"
"consented_grp[1]/bh_rpt[2]/bh2","6","642"
"consented_grp[1]/bh_rpt[2]/bh3","7","646"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","4","651"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","26","654"
"consented_grp[1]/bh_rpt[2]/bh5","8","676"
"consented_grp[1]/bh_rpt[2]/bh6","21","682"
"consented_grp[1]/bh_rpt[2]/bh7","4","729"
"consented_grp[1]/bh_rpt[2]/bh10","3","733"
"consented_grp[1]/bh_rpt[3]/bh1","8","736"
"consented_grp[1]/bh_rpt[3]/bh2","8","743"
"consented_grp[1]/bh_rpt[3]/bh3","4","752"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","14","756"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","14","770"
"consented_grp[1]/bh_rpt[3]/bh5","3","784"
"consented_grp[1]/bh_rpt[3]/bh6","5","787"
"consented_grp[1]/bh_rpt[3]/bh7","4","791"
"consented_grp[1]/bh_rpt[3]/bh8","5","795"
"consented_grp[1]/bh_rpt[3]/bh10","4","800"
"consented_grp[1]/bh_rpt[4]/bh1","9","804"
"consented_grp[1]/bh_rpt[4]/bh2","6","813"
"consented_grp[1]/bh_rpt[4]/bh3","3","820"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","17","822"
"consented_grp[1]/bh_rpt[4]/bh4_dob_my","7","840"
"consented_grp[1]/bh_rpt[4]/bh5","3","847"
"consented_grp[1]/bh_rpt[4]/bh6","4","849"
"consented_grp[1]/bh_rpt[4]/bh7","5","854"
"consented_grp[1]/bh_rpt[4]/bh10","2","859"
"consented_grp[1]/bh_rpt[5]/bh1","17","861"
"consented_grp[1]/bh_rpt[5]/bh2","2","878"
"consented_grp[1]/bh_rpt[5]/bh3","5","880"
"consented_grp[1]/bh_rpt[5]/bh4_age_sel","2","885"
"consented_grp[1]/bh_rpt[5]/bh4_dob_my","17","888"
"consented_grp[1]/bh_rpt[5]/bh5","8","905"
"consented_grp[1]/bh_rpt[5]/bh6","12","910"
"consented_grp[1]/bh_rpt[5]/bh7","18","919"
"consented_grp[1]/bh_rpt[5]/bh10","28","922"
"consented_grp[1]/bh_rpt[6]/bh1","19","933"
"consented_grp[1]/bh_rpt[6]/bh2","5","948"
"consented_grp[1]/bh_rpt[6]/bh3","4","952"
"consented_grp[1]/bh_rpt[6]/bh4_age_sel","4","954"
"consented_grp[1]/bh_rpt[6]/bh4_dob_my","9","956"
"consented_grp[1]/bh_rpt[6]/bh5","6","963"
"consented_grp[1]/bh_rpt[6]/bh6","17","967"
