"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","7","3"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","8","11"
"comm_confirm_grp[1]/comm_details","2","19"
"comm_confirm_grp[1]/comm_confirm","2","19"
"hhid_grp[1]/hhid_instruction","10","21"
"hhid_grp[1]/hhid_struct_num","10","21"
"hhid_grp[1]/hhid_hh_num","10","21"
"hhid_confirm_grp[1]/hhid_details","1","31"
"hhid_confirm_grp[1]/hhid_confirm","1","31"
"consent_grp[1]/consent_instr","20","32"
"consent_grp[1]/consent","20","32"
"consented_grp[1]/hh_note","3","52"
"consented_grp[1]/hhm_cnt","10","54"
"consented_grp[1]/rooster_note","7","57"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","26","59"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","26","59"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","26","59"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","3","83"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","4","85"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","4","87"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","16","89"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","13","105"
"consented_grp[1]/hhm_rpt[1]/ed4","4","117"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","4","119"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","4","123"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","2","125"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","4","127"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","9","130"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","9","130"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","20","134"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","20","134"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","20","134"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","14","147"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","4","159"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","4","162"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","15","165"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","10","179"
"consented_grp[1]/hhm_rpt[2]/ed4","11","188"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","28","195"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","28","195"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","47","197"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","47","197"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","47","197"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","23","233"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","2","254"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","2","256"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","10","257"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","14","268"
"consented_grp[1]/hhm_rpt[3]/ed4","5","281"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","3","287"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","5","289"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","2","293"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","2","294"
"consented_grp[1]/hhm_rpt[3]/ed9","6","297"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","2","300"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed11a","9","302"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed12","21","311"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed14","16","332"
"consented_grp[1]/hhm_rpt[3]/ed15","6","348"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16a","2","354"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16b","2","357"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","3","359"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","3","359"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","30","362"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","30","362"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","30","362"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","12","392"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","56","404"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","4","461"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","14","463"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","7","476"
"consented_grp[1]/hhm_rpt[4]/ed4","3","482"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a","2","486"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a_a","2","487"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5b","3","489"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed6","2","491"
"consented_grp[1]/hhm_rpt[4]/ed9","3","493"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed10","2","496"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed11a","9","498"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed12","4","505"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed14","2","509"
"consented_grp[1]/hhm_rpt[4]/ed15","5","511"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16a","3","516"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16b","2","518"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","2","520"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","2","520"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","37","522"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","37","522"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","37","522"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl3","35","558"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl4","7","581"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_age_sel","26","583"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_dob_dmy","52","623"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl7","3","674"
"consented_grp[1]/hhm_rpt[5]/ed4","15","677"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5a","3","692"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5a_a","4","694"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5b","2","698"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed6","4","700"
"consented_grp[1]/hhm_rpt[5]/ed9","6","704"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed10","2","710"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed11a","5","711"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed12","15","716"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed14","9","731"
"consented_grp[1]/hhm_rpt[5]/ed15","6","740"
"consented_grp[1]/hhm_rpt[5]/ed16_grp[1]/ed16a","2","745"
"consented_grp[1]/hhm_rpt[5]/ed16_grp[1]/ed16b","2","747"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_note","33","749"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_yn","33","749"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","26","775"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","26","775"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","26","775"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl3","12","794"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl4","3","806"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl5_age_sel","2","809"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl5_dob_dmy","14","811"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl7","2","825"
"consented_grp[1]/hhm_rpt[6]/ed4","10","827"
"consented_grp[1]/hhm_rpt[6]/ed9","4","836"
"consented_grp[1]/hhm_rpt[6]/ed15","2","840"
"consented_grp[1]/hhm_rpt[6]/hhm_add_grp[1]/hhm_add_note","3","842"
"consented_grp[1]/hhm_rpt[6]/hhm_add_grp[1]/hhm_add_yn","3","842"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","19","846"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","19","846"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","19","846"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl3","2","865"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl4","2","867"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl5_age_sel","2","869"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl5_dob_dmy","26","871"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl7","8","896"
"consented_grp[1]/hhm_rpt[7]/hhm_add_grp[1]/hhm_add_note","7","904"
"consented_grp[1]/hhm_rpt[7]/hhm_add_grp[1]/hhm_add_yn","7","904"
"consented_grp[1]/hhm_ch_intro","19","910"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","7","929"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","2","936"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","3","938"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","5","941"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","2","946"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17b","1","948"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl12","12","949"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13a","11","962"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl15","11","973"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl16","9","980"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17a","14","994"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl19","2","1007"
"consented_grp[1]/hhm_ch_rpt[2]/h20_grp[1]/hl20_ct","7","1009"
"consented_grp[1]/hhm_ch_rpt[2]/h20_grp[1]/hl20_oth","3","1016"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl12","8","1019"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13a","2","1027"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13b","2","1029"
