"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","14","3"
"enum_confirm_grp[1]/enum_details","1","17"
"enum_confirm_grp[1]/enum_confirm","1","17"
"community_id","10","19"
"comm_confirm_grp[1]/comm_details","3","28"
"comm_confirm_grp[1]/comm_confirm","3","28"
"u5_iden_grp[1]/u5_id","83","31"
"u5_iden_grp[1]/u5_fullname","83","31"
"u5_iden_grp[1]/u5_age","83","31"
"u5_iden_grp[1]/u5_ct_id","83","31"
"u5_iden_grp[1]/u5_ct_fullname","83","31"
"uf9","2","114"
"consent_grp[1]/consent","2","116"
"consented_grp[1]/ub0","2","119"
"consented_grp[1]/ub1_age_sel","5","120"
"consented_grp[1]/ub1_dob_dmy","42","126"
"consented_grp[1]/ub5","7","168"
"consented_grp[1]/ub9","4","175"
"consented_grp[1]/br1","5","179"
"consented_grp[1]/ec1","2","184"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","15","186"
"consented_grp[1]/ec2_grp[1]/ec2_label","15","186"
"consented_grp[1]/ec2_grp[1]/ec2a","15","186"
"consented_grp[1]/ec2_grp[1]/ec2b","15","186"
"consented_grp[1]/ec2_grp[1]/ec2c","15","186"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","19","202"
"consented_grp[1]/ec3_grp[1]/ec3a","19","202"
"consented_grp[1]/ec3_grp[1]/ec3b","19","202"
"consented_grp[1]/ec7","8","217"
"consented_grp[1]/ec8","2","229"
"consented_grp[1]/ec9","4","230"
"consented_grp[1]/ec10","7","235"
"consented_grp[1]/ec11","9","241"
"consented_grp[1]/ec12","2","250"
"consented_grp[1]/ec13","8","252"
"consented_grp[1]/ec14","3","260"
"consented_grp[1]/ec15","13","263"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","69","276"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","69","276"
"consented_grp[1]/ucd2_grp[1]/ucd2a","69","276"
"consented_grp[1]/ucd2_grp[1]/ucb2b","69","276"
"consented_grp[1]/ucd2_grp[1]/ucb2c","69","276"
"consented_grp[1]/ucd2_grp[1]/ucb2d","69","276"
"consented_grp[1]/ucd2_grp[1]/ucb2e","69","276"
"consented_grp[1]/ucd2_grp[1]/ucb2f","69","276"
"consented_grp[1]/ucd2_grp[1]/ucb2g","69","276"
"consented_grp[1]/ucd2_grp[1]/ucb2h","69","276"
"consented_grp[1]/ucd2_grp[1]/ucb2i","69","276"
"consented_grp[1]/ucd2_grp[1]/ucb2j","69","276"
"consented_grp[1]/ucd3","9","344"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","13","353"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","13","353"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","13","353"
