"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","4"
"enum_id","5","5"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","8","11"
"comm_confirm_grp[1]/comm_details","1","20"
"comm_confirm_grp[1]/comm_confirm","1","20"
"u5_iden_grp[1]/u5_id","90","21"
"u5_iden_grp[1]/u5_fullname","90","21"
"u5_iden_grp[1]/u5_age","90","21"
"u5_iden_grp[1]/u5_ct_id","90","21"
"u5_iden_grp[1]/u5_ct_fullname","90","21"
"gm1_a","5","93"
"gm1_b","6","95"
"gm2_rpt[1]/gm2_grp[1]/gm3","26","98"
"gm2_rpt[1]/gm2_grp[1]/gm4","5","121"
"gm2_rpt[1]/gm2_grp[1]/gm5","13","124"
"gm2_rpt[1]/gm2_grp[1]/gm6","5","133"
"gm2_rpt[1]/gm2_grp[1]/gm7","6","136"
"gmobs1","7","140"
"gmobs2","10","143"
"an8","364","145"
"an9","4","151"
"an11_grp[1]/an11_b","9","152"
"an11_grp[1]/an11","9","152"
"an12","2","153"
"an13","2","155"
"an15","2","156"
