"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","2"
"enum_id","3","4"
"enum_confirm_grp[1]/enum_details","2","7"
"enum_confirm_grp[1]/enum_confirm","2","7"
"community_id","7","9"
"comm_confirm_grp[1]/comm_details","1","16"
"comm_confirm_grp[1]/comm_confirm","1","16"
"chw_iden_grp[1]/chw_id","23","18"
"chw_iden_grp[1]/chw_fullname","23","18"
"consent_grp[1]/consent_note","152","40"
"consent_grp[1]/consent","152","40"
"consented_grp[1]/consent_followup","15","190"
"consented_grp[1]/gi101","39","207"
"consented_grp[1]/gi102","18","246"
"consented_grp[1]/gi103_dob","42","264"
"consented_grp[1]/gi03_age","26","306"
"consented_grp[1]/age_mismatch","1","332"
"consented_grp[1]/gi104","10","333"
"consented_grp[1]/gi105","34","339"
"consented_grp[1]/gi106","10","377"
"consented_grp[1]/gi107","28","387"
"consented_grp[1]/gi110","9","415"
"consented_grp[1]/gi111a","15","423"
"consented_grp[1]/gi113","2","439"
"consented_grp[1]/gi114_grp[1]/gi114_note","39","441"
"consented_grp[1]/gi114_grp[1]/gi114_a","39","441"
"consented_grp[1]/gi114_grp[1]/gi114_b","39","441"
"consented_grp[1]/gi115_grp[1]/gi115_note","33","480"
"consented_grp[1]/gi115_grp[1]/gi115_a","33","480"
"consented_grp[1]/gi115_grp[1]/gi115_b","33","480"
"consented_grp[1]/gi116_grp[1]/gi116_a","25","514"
"consented_grp[1]/gi116_grp[1]/gi116_b","25","514"
"consented_grp[1]/gi117","19","534"
"consented_grp[1]/gi118","20","543"
"consented_grp[1]/gi119","25","554"
"consented_grp[1]/gi120_grp[1]/gi120_a","54","574"
"consented_grp[1]/gi120_grp[1]/gi120_b","54","574"
"consented_grp[1]/gi121_grp[1]/gi121_a","40","616"
"consented_grp[1]/gi122_grp[1]/gi122_a","8","632"
"consented_grp[1]/gi122_grp[1]/gi122_b","8","632"
"consented_grp[1]/gi123","2","704"
"consented_grp[1]/gi124","11","706"
"consented_grp[1]/gi126","6","716"
"consented_grp[1]/gi127","2","723"
"consented_grp[1]/gi128_grp[1]/gi128","16","725"
"consented_grp[1]/gi128_grp[1]/gi129","7","741"
"consented_grp[1]/gi130_grp[1]/gi130_note","82","747"
"consented_grp[1]/gi130_grp[1]/gi130a","82","747"
"consented_grp[1]/gi130_grp[1]/gi130b","82","747"
"consented_grp[1]/gi130_grp[1]/gi130c","82","747"
"consented_grp[1]/gi130_grp[1]/gi130d","82","747"
"consented_grp[1]/gi130_grp[1]/gi130e","82","747"
"consented_grp[1]/gi130_grp[1]/gi130f","82","747"
"consented_grp[1]/gi130_grp[1]/gi130g","82","747"
"consented_grp[1]/gi130_grp[1]/gi130h","82","747"
"consented_grp[1]/gi131","10","830"
"consented_grp[1]/ts201_intronote","2","840"
"consented_grp[1]/ts201_grp[1]/ts201_note","128","842"
"consented_grp[1]/ts201_grp[1]/ts201_label","128","842"
"consented_grp[1]/ts201_grp[1]/ts201_a","128","842"
"consented_grp[1]/ts201_grp[1]/ts201_b","128","842"
"consented_grp[1]/ts201_grp[1]/ts201_c","128","842"
"consented_grp[1]/ts201_grp[1]/ts201_d","128","842"
"consented_grp[1]/ts201_grp[1]/ts201_e","128","842"
"consented_grp[1]/ts201_grp[1]/ts201_f","128","842"
"consented_grp[1]/ts201_grp[1]/ts201_g","128","842"
"consented_grp[1]/ts201_grp[1]/ts201_h","128","842"
"consented_grp[1]/ts201_grp[1]/ts201_i","128","842"
"consented_grp[1]/ts201_grp[1]/ts201_j","128","842"
"consented_grp[1]/ts201_grp[1]/ts201_k","128","842"
"consented_grp[1]/ts201_grp[1]/ts201_l","128","842"
"consented_grp[1]/ts201_grp[1]/ts201_m","128","842"
"consented_grp[1]/ts201_grp[1]/ts201_n","128","842"
"consented_grp[1]/ts201_grp[1]/ts201_o","128","842"
"consented_grp[1]/ts201_grp[1]/ts201_p","128","842"
"consented_grp[1]/ts201_grp[1]/ts201_q","128","842"
"consented_grp[1]/ts201_grp[1]/ts201_r","128","842"
"consented_grp[1]/ts202_grp[1]/ts202_note","64","971"
"consented_grp[1]/ts202_grp[1]/ts202_label","64","971"
"consented_grp[1]/ts202_grp[1]/ts202_a","64","971"
"consented_grp[1]/ts202_grp[1]/ts202_b","64","971"
"consented_grp[1]/ts202_grp[1]/ts202_c","64","971"
"consented_grp[1]/ts202_grp[1]/ts202_d","64","971"
"consented_grp[1]/ts202_grp[1]/ts202_e","64","971"
"consented_grp[1]/ts203","14","1034"
"consented_grp[1]/ts206_grp[1]/ts206_note","27","1048"
"consented_grp[1]/ts206_grp[1]/ts206_label","27","1048"
"consented_grp[1]/ts206_grp[1]/ts206_a","27","1048"
"consented_grp[1]/ts206_grp[1]/ts206_b","27","1048"
"consented_grp[1]/ts206_grp[1]/ts206_c","27","1048"
