"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","3"
"enum_id","6","4"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","5","12"
"comm_confirm_grp[1]/comm_details","1","17"
"comm_confirm_grp[1]/comm_confirm","1","17"
"hhid_grp[1]/hhid_instruction","7","18"
"hhid_grp[1]/hhid_struct_num","7","18"
"hhid_grp[1]/hhid_hh_num","7","18"
"hhid_confirm_grp[1]/hhid_details","1","26"
"hhid_confirm_grp[1]/hhid_confirm","1","26"
"consent_grp[1]/consent_instr","23","27"
"consent_grp[1]/consent","23","27"
"consented_grp[1]/hh_note","2","50"
"consented_grp[1]/hhm_cnt","15","51"
"consented_grp[1]/rooster_note","2","67"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","37","69"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","37","69"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","37","69"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","105"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","11","107"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","118"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","63","120"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","4","183"
"consented_grp[1]/hhm_rpt[1]/ed4","4","187"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","2","191"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","2","191"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","25","193"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","25","193"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","25","193"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","2","218"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","221"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","2","223"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl6_age_est","8","225"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","2","233"
"consented_grp[1]/hhm_rpt[2]/ed4","6","235"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","4","242"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","2","246"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","2","248"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","3","250"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","2","253"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","2","253"
