"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","6"
"enum_id","16","7"
"enum_confirm_grp[1]/enum_details","1","23"
"enum_confirm_grp[1]/enum_confirm","1","23"
"community_id","8","24"
"comm_confirm_grp[1]/comm_details","1","31"
"comm_confirm_grp[1]/comm_confirm","1","31"
"hhid_grp[1]/hhid_instruction","19","33"
"hhid_grp[1]/hhid_struct_num","19","33"
"hhid_grp[1]/hhid_hh_num","19","33"
"hhid_confirm_grp[1]/hhid_details","2","52"
"hhid_confirm_grp[1]/hhid_confirm","2","52"
"consent_grp[1]/consent_instr","256","54"
"consent_grp[1]/consent","256","54"
"consented_grp[1]/hh_note","4","310"
"consented_grp[1]/hhm_cnt","4","314"
"consented_grp[1]/rooster_note","8","316"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","21","319"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","21","319"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","21","319"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","346"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","3","349"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","6","351"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","9","354"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","5","361"
"consented_grp[1]/hhm_rpt[1]/ed4","4","372"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","2","376"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","2","376"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","39","379"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","39","379"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","39","379"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","2","418"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","6","420"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","4","426"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl6_age_est","22","430"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","2","452"
"consented_grp[1]/hhm_rpt[2]/ed4","3","454"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","5","458"
