"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","5","3"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","7","10"
"comm_confirm_grp[1]/comm_details","1","17"
"comm_confirm_grp[1]/comm_confirm","1","17"
"u5_iden_grp[1]/u5_id","62","18"
"u5_iden_grp[1]/u5_fullname","62","18"
"u5_iden_grp[1]/u5_age","62","18"
"u5_iden_grp[1]/u5_ct_id","62","18"
"u5_iden_grp[1]/u5_ct_fullname","62","18"
"uf9","2","80"
"consent_grp[1]/consent","2","82"
"consented_grp[1]/ub0","1","84"
"consented_grp[1]/ub1_age_sel","2","86"
"consented_grp[1]/ub1_dob_dmy","10","88"
"consented_grp[1]/ub5","2","98"
"consented_grp[1]/ub9","1","100"
"consented_grp[1]/br1","8","101"
"consented_grp[1]/br2","1","109"
"consented_grp[1]/br3","2","110"
"consented_grp[1]/ec1","2","112"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","13","114"
"consented_grp[1]/ec2_grp[1]/ec2_label","13","114"
"consented_grp[1]/ec2_grp[1]/ec2a","13","114"
"consented_grp[1]/ec2_grp[1]/ec2b","13","114"
"consented_grp[1]/ec2_grp[1]/ec2c","13","114"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","16","128"
"consented_grp[1]/ec3_grp[1]/ec3a","16","128"
"consented_grp[1]/ec3_grp[1]/ec3b","16","128"
"consented_grp[1]/ec7","2","144"
"consented_grp[1]/ec8","1","145"
"consented_grp[1]/ec9","1","147"
"consented_grp[1]/ec10","8","148"
"consented_grp[1]/ec11","3","150"
"consented_grp[1]/ec12","1","159"
"consented_grp[1]/ec13","2","160"
"consented_grp[1]/ec14","1","162"
"consented_grp[1]/ec15","1","164"
"consented_grp[1]/bd_grp[1]/bd2","4","165"
"consented_grp[1]/bd_grp[1]/bd4","5","167"
"consented_grp[1]/bd_grp[1]/bd3","3","172"
"consented_grp[1]/bd_grp[1]/bd5","2","177"
"consented_grp[1]/bd_grp[1]/bd6","6","179"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","9","186"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","9","186"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","9","186"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","9","186"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","9","186"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","9","186"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","2","195"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","2","195"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","3","197"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","3","197"
"consented_grp[1]/bd_grp[1]/bd8","2","200"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","1","203"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","3","204"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","207"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","3","208"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","5","211"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","2","216"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","3","217"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","4","220"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e2","3","222"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","4","227"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","11","228"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","11","233"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f2","9","242"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g2","1","256"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","3","262"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h2","1","264"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","1","268"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","2","269"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","4","271"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","2","275"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","1","277"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","1","278"
"consented_grp[1]/im2","2","279"
"consented_grp[1]/im5","2","282"
"consented_grp[1]/im6_note","1","283"
"consented_grp[1]/im6_rpt[1]/im6","19","285"
"consented_grp[1]/im6_rpt[1]/im6a","12","303"
"consented_grp[1]/im6_rpt[2]/im6","2","315"
"consented_grp[1]/im6_rpt[2]/im6a","6","317"
"consented_grp[1]/im6_rpt[3]/im6","2","323"
"consented_grp[1]/im6_rpt[3]/im6a","12","325"
"consented_grp[1]/im6_rpt[4]/im6","1","337"
"consented_grp[1]/im6_rpt[4]/im6a","12","339"
"consented_grp[1]/im6_rpt[5]/im6","1","351"
"consented_grp[1]/im6_rpt[5]/im6a","13","352"
"consented_grp[1]/im6_rpt[6]/im6","1","365"
"consented_grp[1]/im6_rpt[6]/im6a","12","366"
"consented_grp[1]/im6_rpt[7]/im6","5","379"
"consented_grp[1]/im6_rpt[7]/im6a","16","384"
"consented_grp[1]/im6_rpt[8]/im6","2","400"
"consented_grp[1]/im6_rpt[8]/im6a","10","402"
"consented_grp[1]/im6_rpt[9]/im6","3","412"
"consented_grp[1]/im6_rpt[9]/im6a","11","415"
"consented_grp[1]/im6_rpt[10]/im6","2","425"
"consented_grp[1]/im6_rpt[10]/im6a","7","428"
"consented_grp[1]/im6_rpt[11]/im6","2","434"
"consented_grp[1]/im6_rpt[11]/im6a","12","436"
"consented_grp[1]/im6_rpt[12]/im6","1","448"
"consented_grp[1]/im6_rpt[12]/im6a","8","450"
"consented_grp[1]/im6_rpt[13]/im6","2","458"
"consented_grp[1]/im6_rpt[13]/im6a","7","460"
"consented_grp[1]/im6_rpt[14]/im6","9","467"
"consented_grp[1]/im6_rpt[14]/im6a","8","476"
"consented_grp[1]/im6_rpt[15]/im6","2","484"
"consented_grp[1]/im6_rpt[15]/im6a","9","486"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_note","10","495"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_label","10","495"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8a","10","495"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8b","10","495"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8c","10","495"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8d","10","495"
"consented_grp[1]/im8_im27_grp[1]/im9","2","505"
"consented_grp[1]/ca1","2","508"
"consented_grp[1]/ca14","5","510"
"consented_grp[1]/ca15","1","514"
"consented_grp[1]/ca16","4","516"
"consented_grp[1]/ca17","9","518"
"consented_grp[1]/ca31","15","529"
"consented_grp[1]/gps_backup","5","544"
"comments","5","548"
