"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","7","3"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","5","10"
"comm_confirm_grp[1]/comm_details","1","15"
"comm_confirm_grp[1]/comm_confirm","1","15"
"hhid_grp[1]/hhid_instruction","5","16"
"hhid_grp[1]/hhid_struct_num","5","16"
"hhid_grp[1]/hhid_hh_num","5","16"
"hhid_confirm_grp[1]/hhid_details","1","21"
"hhid_confirm_grp[1]/hhid_confirm","1","21"
"consent_grp[1]/consent_instr","197","22"
"consent_grp[1]/consent","197","22"
"consented_grp[1]/hh_note","1","219"
"consented_grp[1]/hhm_cnt","11","220"
"consented_grp[1]/rooster_note","2","231"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","139","233"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","139","233"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","139","233"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","1","373"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","374"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","3","376"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_y","5","379"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","1","384"
"consented_grp[1]/hhm_rpt[1]/ed4","2","385"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","1","388"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","1","389"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","2","390"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","6","393"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","2","399"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","2","399"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","31","400"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","31","400"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","31","400"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","4","426"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","4","428"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","3","430"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","14","431"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","2","455"
"consented_grp[1]/hhm_rpt[2]/ed4","39","457"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","4","493"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","10","498"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","10","498"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","15","512"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","15","512"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","15","512"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","6","527"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","2","528"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","1","535"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","6","536"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","1","543"
"consented_grp[1]/hhm_rpt[3]/ed4","2","544"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","1","545"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","1","547"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","1","548"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","1","549"
"consented_grp[1]/hhm_rpt[3]/ed9","1","550"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","1","552"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed11a","6","553"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed12","6","559"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed14","2","565"
"consented_grp[1]/hhm_rpt[3]/ed15","2","566"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16a","16","569"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16b","1","585"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","3","586"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","3","586"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","9","589"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","9","589"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","9","589"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","3","598"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","1","601"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","5","602"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_y","3","606"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl6_age_est","6","611"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","2","617"
"consented_grp[1]/hhm_rpt[4]/ed4","2","619"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","2","621"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","2","621"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","13","623"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","13","623"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","13","623"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl3","1","635"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl4","1","637"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_age_sel","1","638"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_dob_dmy","8","639"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl7","1","647"
"consented_grp[1]/hhm_rpt[5]/ed4","1","648"
"consented_grp[1]/hhm_rpt[5]/ed9","1","650"
"consented_grp[1]/hhm_rpt[5]/ed15","1","651"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_note","3","652"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_yn","3","652"
"consented_grp[1]/hhm_ch_intro","1","655"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","1","656"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","1","657"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","1","658"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","1","659"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","1","660"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17b","1","661"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl12","1","663"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13a","1","664"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13b","1","664"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl16","1","665"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17a","1","666"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17b","1","667"
"consented_grp[1]/u5_rpt[1]/u5_note","14","668"
"consented_grp[1]/hc_grp[1]/hc1a","3","682"
"consented_grp[1]/hc_grp[1]/hc1b","7","685"
"consented_grp[1]/hc_grp[1]/hc2","3","692"
"consented_grp[1]/hc_grp[1]/hc3","9","695"
"consented_grp[1]/hc_grp[1]/hc4","2","704"
"consented_grp[1]/hc_grp[1]/hc5","2","705"
"consented_grp[1]/hc_grp[1]/hc6","2","707"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hcf_note","13","709"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7_label","13","709"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7a","13","709"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7b","13","709"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7c","13","709"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7d","13","709"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7e","13","709"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7f","13","709"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7g","13","709"
"consented_grp[1]/hc_grp[1]/hc8","5","722"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_note","14","727"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_labels","14","727"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10a","14","727"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10b","14","727"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10c","14","727"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10d","14","727"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10e","14","727"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10f","14","727"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10g","14","727"
"consented_grp[1]/hc_grp[1]/hc11","6","741"
"consented_grp[1]/hc_grp[1]/hc12","2","747"
"consented_grp[1]/hc_grp[1]/hc13","10","750"
"consented_grp[1]/hc_grp[1]/hc14","2","760"
"consented_grp[1]/hc_grp[1]/hc15","4","762"
"consented_grp[1]/hc_grp[1]/hc16_grp[1]/hc16a","20","767"
"consented_grp[1]/hc_grp[1]/hc16_grp[1]/hc16b","20","767"
"consented_grp[1]/hc_grp[1]/hc17","5","787"
"consented_grp[1]/hc_grp[1]/hc18","5","792"
"consented_grp[1]/hc_grp[1]/hc18_grp[1]/note","4","797"
"consented_grp[1]/hc_grp[1]/hc18_grp[1]/hc18f","4","797"
"consented_grp[1]/hc_grp[1]/hc19","5","801"
"consented_grp[1]/st_intonote","19","805"
"consented_grp[1]/st_rpt[1]/st1a","14","824"
"consented_grp[1]/st_rpt[2]/st1a","13","838"
"consented_grp[1]/st_rpt[3]/st1a","10","852"
"consented_grp[1]/st_rpt[3]/st1b","2","862"
"consented_grp[1]/st_rpt[4]/st1a","5","863"
"consented_grp[1]/st_rpt[4]/st1b","1","869"
"consented_grp[1]/st_rpt[5]/st1a","3","870"
"consented_grp[1]/st_rpt[5]/st1_add_yn","7","873"
"consented_grp[1]/eu1","7","880"
"consented_grp[1]/eu2","4","884"
"consented_grp[1]/eu3","2","885"
"consented_grp[1]/eu4_grp[1]/eu4","2","892"
"consented_grp[1]/eu5_grp[1]/eu5","2","894"
"consented_grp[1]/eu6","10","897"
"consented_grp[1]/eu9","15","907"
"consented_grp[1]/tn1","3","922"
"consented_grp[1]/tn2","9","925"
"consented_grp[1]/tn_rpt[1]/generated_note_name_438","1","934"
"consented_grp[1]/tn_rpt[1]/tn3","2","935"
"consented_grp[1]/tn_rpt[1]/tn4","16","937"
"consented_grp[1]/tn_rpt[1]/tn5","1","953"
"consented_grp[1]/tn_rpt[1]/tn10","10","954"
"consented_grp[1]/tn_rpt[1]/tn12","2","964"
"consented_grp[1]/tn_rpt[1]/tn13","1","967"
"consented_grp[1]/tn_rpt[1]/tn15","12","968"
"consented_grp[1]/irs1","11","980"
"consented_grp[1]/ws1","12","991"
"consented_grp[1]/ws3","1","1003"
