"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","2"
"enum_id","5","3"
"enum_confirm_grp[1]/enum_details","2","7"
"enum_confirm_grp[1]/enum_confirm","2","7"
"community_id","11","8"
"comm_confirm_grp[1]/comm_details","2","18"
"comm_confirm_grp[1]/comm_confirm","2","18"
"u5_iden_grp[1]/u5_id","48","19"
"u5_iden_grp[1]/u5_fullname","48","19"
"u5_iden_grp[1]/u5_age","48","19"
"u5_iden_grp[1]/u5_ct_id","48","19"
"u5_iden_grp[1]/u5_ct_fullname","48","19"
"uf9","10","65"
"consent_grp[1]/consent","2","68"
"consented_grp[1]/ub0","1","70"
"consented_grp[1]/ub1_age_sel","1","71"
"consented_grp[1]/ub1_dob_dmy","15","72"
"consented_grp[1]/ub5","2","86"
"consented_grp[1]/ub6","1","88"
"consented_grp[1]/ub9","2","89"
"consented_grp[1]/br1","11","91"
"consented_grp[1]/br2","2","102"
"consented_grp[1]/br3","2","103"
"consented_grp[1]/ec1","2","105"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","24","107"
"consented_grp[1]/ec2_grp[1]/ec2_label","24","107"
"consented_grp[1]/ec2_grp[1]/ec2a","24","107"
"consented_grp[1]/ec2_grp[1]/ec2b","24","107"
"consented_grp[1]/ec2_grp[1]/ec2c","24","107"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","16","130"
"consented_grp[1]/ec3_grp[1]/ec3a","16","130"
"consented_grp[1]/ec3_grp[1]/ec3b","16","130"
"consented_grp[1]/ec5_grp[1]/ec5","46","147"
"consented_grp[1]/ec5_grp[1]/ec5_label","46","147"
"consented_grp[1]/ec5_grp[1]/ec5a","46","147"
"consented_grp[1]/ec5_grp[1]/ec5b","46","147"
"consented_grp[1]/ec5_grp[1]/ec5c","46","147"
"consented_grp[1]/ec5_grp[1]/ec5d","46","147"
"consented_grp[1]/ec5_grp[1]/ec5e","46","147"
"consented_grp[1]/ec5_grp[1]/ec5f","46","147"
"consented_grp[1]/ec6_grp[1]/ec6_note","2","192"
"consented_grp[1]/ec6_grp[1]/ec6","2","192"
"consented_grp[1]/ec7","2","195"
"consented_grp[1]/ec8","3","196"
"consented_grp[1]/ec9","1","200"
"consented_grp[1]/ec10","6","201"
"consented_grp[1]/ec11","2","207"
"consented_grp[1]/ec12","3","209"
"consented_grp[1]/ec13","1","211"
"consented_grp[1]/ec14","6","213"
"consented_grp[1]/ec15","4","215"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","63","223"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","63","223"
"consented_grp[1]/ucd2_grp[1]/ucd2a","63","223"
"consented_grp[1]/ucd2_grp[1]/ucb2b","63","223"
"consented_grp[1]/ucd2_grp[1]/ucb2c","63","223"
"consented_grp[1]/ucd2_grp[1]/ucb2d","63","223"
"consented_grp[1]/ucd2_grp[1]/ucb2e","63","223"
"consented_grp[1]/ucd2_grp[1]/ucb2f","63","223"
"consented_grp[1]/ucd2_grp[1]/ucb2g","63","223"
"consented_grp[1]/ucd2_grp[1]/ucb2h","63","223"
"consented_grp[1]/ucd2_grp[1]/ucb2i","63","223"
"consented_grp[1]/ucd2_grp[1]/ucb2j","63","223"
"consented_grp[1]/ucd3","23","286"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","11","309"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","11","309"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","11","309"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","11","309"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","11","309"
"consented_grp[1]/ucf_grp[1]/ucf5","1","320"
"consented_grp[1]/ucf_grp[1]/ucf7b","2","321"
"consented_grp[1]/ucf_grp[1]/ucf9b","1","323"
"consented_grp[1]/ucf_grp[1]/ucf13","5","324"
"consented_grp[1]/ucf_grp[1]/ucf14","1","325"
"consented_grp[1]/ucf_grp[1]/ucf15","1","327"
"consented_grp[1]/ucf_grp[1]/ucf16","1","328"
"consented_grp[1]/ucf_grp[1]/ucf17","1","329"
"consented_grp[1]/ucf_grp[1]/ucf18","1","330"
"consented_grp[1]/ucf_grp[1]/ucf19","3","331"
"consented_grp[1]/im2","2","334"
"consented_grp[1]/im5","2","336"
"consented_grp[1]/im6_note","1","338"
"consented_grp[1]/im6_rpt[1]/im6","1","339"
"consented_grp[1]/im6_rpt[1]/im6a","21","340"
"consented_grp[1]/im6_rpt[2]/im6","1","361"
"consented_grp[1]/im6_rpt[2]/im6a","8","362"
"consented_grp[1]/im6_rpt[3]/im6","1","370"
"consented_grp[1]/im6_rpt[3]/im6a","17","371"
"consented_grp[1]/im6_rpt[4]/im6","1","388"
"consented_grp[1]/im6_rpt[4]/im6a","7","389"
"consented_grp[1]/im6_rpt[5]/im6","1","396"
"consented_grp[1]/im6_rpt[5]/im6a","11","397"
"consented_grp[1]/im6_rpt[6]/im6","1","409"
"consented_grp[1]/im6_rpt[6]/im6a","10","409"
"consented_grp[1]/im6_rpt[7]/im6","1","416"
"consented_grp[1]/im6_rpt[7]/im6a","10","417"
"consented_grp[1]/im6_rpt[8]/im6","1","427"
"consented_grp[1]/im6_rpt[8]/im6a","6","428"
"consented_grp[1]/im6_rpt[9]/im6","1","434"
"consented_grp[1]/im6_rpt[9]/im6a","7","435"
"consented_grp[1]/im6_rpt[10]/im6","1","442"
"consented_grp[1]/im6_rpt[10]/im6a","10","443"
"consented_grp[1]/im6_rpt[11]/im6","1","453"
"consented_grp[1]/im6_rpt[11]/im6a","9","454"
"consented_grp[1]/im6_rpt[12]/im6","1","463"
"consented_grp[1]/im6_rpt[12]/im6a","10","464"
"consented_grp[1]/im6_rpt[13]/im6","5","469"
"consented_grp[1]/im6_rpt[13]/im6a","17","470"
"consented_grp[1]/im6_rpt[14]/im6","14","497"
"consented_grp[1]/im6_rpt[14]/im6a","20","499"
"consented_grp[1]/im6_rpt[15]/im6","4","535"
"consented_grp[1]/im6_rpt[15]/im6a","8","560"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_note","26","568"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_label","26","568"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8a","26","568"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8b","26","568"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8c","26","568"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8d","26","568"
"consented_grp[1]/im8_im27_grp[1]/im9","2","594"
"consented_grp[1]/ca1","13","595"
"consented_grp[1]/ca3_grp[1]/ca3b_note","34","608"
"consented_grp[1]/ca3_grp[1]/ca3b","34","608"
"consented_grp[1]/ca4","5","631"
"consented_grp[1]/ca5","4","647"
"consented_grp[1]/ca6","4","650"
"consented_grp[1]/ca7_grp[1]/ca7_note","6","655"
"consented_grp[1]/ca7_grp[1]/ca7_label","6","655"
"consented_grp[1]/ca7_grp[1]/ca7a","6","655"
"consented_grp[1]/ca7_grp[1]/ca7b","6","655"
"consented_grp[1]/ca7_grp[1]/ca7c","6","655"
"consented_grp[1]/ca7_grp[1]/ca7d","6","655"
"consented_grp[1]/ca12","4","661"
"consented_grp[1]/ca14","10","665"
"consented_grp[1]/ca16","1","675"
"consented_grp[1]/ca17","2","676"
"consented_grp[1]/gps_backup","111","678"
"comments","3","789"
