"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","1"
"enum_id","10","2"
"enum_confirm_grp[1]/enum_details","4","10"
"enum_confirm_grp[1]/enum_confirm","4","10"
"community_id","28","11"
"comm_confirm_grp[1]/comm_details","6","26"
"comm_confirm_grp[1]/comm_confirm","6","26"
"chw_iden_grp[1]/chw_id","575","28"
"chw_iden_grp[1]/chw_fullname","534","28"
"consent_grp[1]/consent_note","133","120"
"consent_grp[1]/consent","133","120"
"consented_grp[1]/consent_followup","18","251"
"consented_grp[1]/gi101","52","264"
"consented_grp[1]/gi102","6","315"
"consented_grp[1]/gi103_dob","33","319"
"consented_grp[1]/gi03_age","70","350"
"consented_grp[1]/age_mismatch","3","359"
"consented_grp[1]/gi104","7","422"
"consented_grp[1]/gi106","10","427"
"consented_grp[1]/gi107","28","437"
"consented_grp[1]/gi110","18","464"
"consented_grp[1]/gi111a","12","481"
"consented_grp[1]/gi113","21","492"
"consented_grp[1]/gi114_grp[1]/gi114_note","82","513"
"consented_grp[1]/gi114_grp[1]/gi114_a","82","513"
"consented_grp[1]/gi114_grp[1]/gi114_b","82","513"
"consented_grp[1]/gi115_grp[1]/gi115_note","42","590"
"consented_grp[1]/gi115_grp[1]/gi115_a","42","590"
"consented_grp[1]/gi115_grp[1]/gi115_b","42","590"
"consented_grp[1]/gi116_grp[1]/gi116_a","20","634"
"consented_grp[1]/gi116_grp[1]/gi116_b","20","634"
"consented_grp[1]/gi117","27","653"
"consented_grp[1]/gi118","26","680"
"consented_grp[1]/gi119","47","704"
"consented_grp[1]/gi120_grp[1]/gi120_a","63","750"
"consented_grp[1]/gi120_grp[1]/gi120_b","63","750"
"consented_grp[1]/gi121_grp[1]/gi121_a","86","811"
"consented_grp[1]/gi121_grp[1]/gi121_b","86","811"
"consented_grp[1]/gi122_grp[1]/gi122_a","36","896"
"consented_grp[1]/gi122_grp[1]/gi122_b","36","896"
"consented_grp[1]/gi123","10","927"
"consented_grp[1]/gi124","21","937"
"consented_grp[1]/gi126","21","958"
"consented_grp[1]/gi127","10","979"
