"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","7","3"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","7","10"
"comm_confirm_grp[1]/comm_details","1","17"
"comm_confirm_grp[1]/comm_confirm","1","17"
"u5_iden_grp[1]/u5_id","53","19"
"u5_iden_grp[1]/u5_fullname","53","19"
"u5_iden_grp[1]/u5_age","53","19"
"u5_iden_grp[1]/u5_ct_id","53","19"
"u5_iden_grp[1]/u5_ct_fullname","53","19"
"uf9","2","72"
"consent_grp[1]/consent","2","74"
"consented_grp[1]/ub0","1","76"
"consented_grp[1]/ub1_age_sel","2","78"
"consented_grp[1]/ub1_dob_dmy","9","80"
"consented_grp[1]/ub5","2","89"
"consented_grp[1]/ub9","6","91"
"consented_grp[1]/br1","5","94"
"consented_grp[1]/ec1","6","96"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","24","98"
"consented_grp[1]/ec2_grp[1]/ec2_label","24","98"
"consented_grp[1]/ec2_grp[1]/ec2a","24","98"
"consented_grp[1]/ec2_grp[1]/ec2b","24","98"
"consented_grp[1]/ec2_grp[1]/ec2c","24","98"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","7","132"
"consented_grp[1]/ec3_grp[1]/ec3a","7","132"
"consented_grp[1]/ec3_grp[1]/ec3b","7","132"
"consented_grp[1]/ec7","3","139"
"consented_grp[1]/ec8","2","142"
"consented_grp[1]/ec9","3","143"
"consented_grp[1]/ec10","3","146"
"consented_grp[1]/ec11","4","149"
"consented_grp[1]/ec12","4","152"
"consented_grp[1]/ec13","6","156"
"consented_grp[1]/ec14","2","162"
"consented_grp[1]/ec15","2","165"
"consented_grp[1]/bd_grp[1]/bd2","3","167"
"consented_grp[1]/bd_grp[1]/bd3","2","169"
"consented_grp[1]/bd_grp[1]/bd4","3","171"
"consented_grp[1]/bd_grp[1]/bd5","9","174"
"consented_grp[1]/bd_grp[1]/bd6","7","183"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","11","190"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","11","190"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","11","190"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","11","190"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","11","190"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","11","190"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","3","201"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","3","201"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","3","205"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","3","205"
"consented_grp[1]/bd_grp[1]/bd7x2","8","208"
"consented_grp[1]/bd_grp[1]/bd8","2","215"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","1","217"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","3","219"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","221"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","2","222"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","5","224"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","2","229"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","2","231"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","1","233"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","2","234"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","1","236"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","2","237"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","2","239"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","2","240"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","2","242"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","2","244"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","2","246"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","2","248"
"consented_grp[1]/im2","2","249"
"consented_grp[1]/im5","2","251"
"consented_grp[1]/im6_note","1","253"
"consented_grp[1]/im6_rpt[1]/im6","2","254"
"consented_grp[1]/im6_rpt[1]/im6a","22","257"
"consented_grp[1]/im6_rpt[2]/im6","3","279"
"consented_grp[1]/im6_rpt[2]/im6a","10","281"
"consented_grp[1]/im6_rpt[3]/im6","2","291"
"consented_grp[1]/im6_rpt[3]/im6a","5","293"
"consented_grp[1]/im6_rpt[4]/im6","2","298"
"consented_grp[1]/im6_rpt[4]/im6a","4","300"
"consented_grp[1]/im6_rpt[5]/im6","2","304"
"consented_grp[1]/im6_rpt[5]/im6a","4","306"
"consented_grp[1]/im6_rpt[6]/im6","2","310"
"consented_grp[1]/im6_rpt[6]/im6a","5","312"
"consented_grp[1]/im6_rpt[7]/im6","2","317"
"consented_grp[1]/im6_rpt[7]/im6a","9","319"
"consented_grp[1]/im6_rpt[8]/im6","2","328"
"consented_grp[1]/im6_rpt[8]/im6a","9","330"
"consented_grp[1]/im6_rpt[9]/im6","2","339"
"consented_grp[1]/im6_rpt[9]/im6a","10","341"
"consented_grp[1]/im6_rpt[10]/im6","2","351"
"consented_grp[1]/im6_rpt[10]/im6a","6","353"
"consented_grp[1]/im6_rpt[11]/im6","2","359"
"consented_grp[1]/im6_rpt[11]/im6a","16","362"
"consented_grp[1]/im6_rpt[12]/im6","4","378"
"consented_grp[1]/im6_rpt[12]/im6a","8","382"
"consented_grp[1]/im6_rpt[13]/im6","3","390"
"consented_grp[1]/im6_rpt[13]/im6a","8","393"
"consented_grp[1]/im6_rpt[14]/im6","3","401"
"consented_grp[1]/im6_rpt[15]/im6","2","404"
"consented_grp[1]/ca1","24","406"
"consented_grp[1]/ca14","9","430"
"consented_grp[1]/ca16","2","439"
"consented_grp[1]/ca17","1","440"
"consented_grp[1]/ca31","10","442"
"consented_grp[1]/gps_backup","5","449"
"comments","4","451"
