"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","2"
"enum_id","72","3"
"enum_confirm_grp[1]/enum_details","2","74"
"enum_confirm_grp[1]/enum_confirm","2","74"
"community_id","12","75"
"comm_confirm_grp[1]/comm_details","3","86"
"comm_confirm_grp[1]/comm_confirm","3","86"
"hhid_grp[1]/hhid_instruction","11","87"
"hhid_grp[1]/hhid_struct_num","11","87"
"hhid_grp[1]/hhid_hh_num","11","87"
"hhid_confirm_grp[1]/hhid_details","2","96"
"hhid_confirm_grp[1]/hhid_confirm","2","96"
"consent_grp[1]/consent_instr","62","97"
"consent_grp[1]/consent","62","97"
"consented_grp[1]/hh_note","2","158"
"consented_grp[1]/hhm_cnt","9","159"
"consented_grp[1]/rooster_note","2","167"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","27","169"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","27","169"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","27","169"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","3","194"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","3","196"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","19","198"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","11","216"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","8","226"
"consented_grp[1]/hhm_rpt[1]/ed4","3","233"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","8","235"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","8","235"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","19","237"
