"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","7","2"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","6","10"
"comm_confirm_grp[1]/comm_details","1","16"
"comm_confirm_grp[1]/comm_confirm","1","16"
"u5_iden_grp[1]/u5_id","37","17"
"u5_iden_grp[1]/u5_fullname","37","17"
"u5_iden_grp[1]/u5_age","37","17"
"u5_iden_grp[1]/u5_ct_id","37","17"
"u5_iden_grp[1]/u5_ct_fullname","37","17"
"uf9","2","54"
"consent_grp[1]/consent","2","56"
"consented_grp[1]/ub0","1","58"
"consented_grp[1]/ub1_age_sel","1","59"
"consented_grp[1]/ub1_dob_dmy","12","60"
"consented_grp[1]/ub5","2","72"
"consented_grp[1]/ub8b","2","75"
"consented_grp[1]/ub9","2","77"
"consented_grp[1]/br1","6","78"
"consented_grp[1]/ec1","2","84"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","24","86"
"consented_grp[1]/ec2_grp[1]/ec2_label","24","86"
"consented_grp[1]/ec2_grp[1]/ec2a","24","86"
"consented_grp[1]/ec2_grp[1]/ec2b","24","86"
"consented_grp[1]/ec2_grp[1]/ec2c","24","86"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","16","110"
"consented_grp[1]/ec3_grp[1]/ec3a","16","110"
"consented_grp[1]/ec3_grp[1]/ec3b","16","110"
"consented_grp[1]/ec5_grp[1]/ec5","30","126"
"consented_grp[1]/ec5_grp[1]/ec5_label","30","126"
"consented_grp[1]/ec5_grp[1]/ec5a","30","126"
"consented_grp[1]/ec5_grp[1]/ec5b","30","126"
"consented_grp[1]/ec5_grp[1]/ec5c","30","126"
"consented_grp[1]/ec5_grp[1]/ec5d","30","126"
"consented_grp[1]/ec5_grp[1]/ec5e","30","126"
"consented_grp[1]/ec5_grp[1]/ec5f","30","126"
"consented_grp[1]/ec6_grp[1]/ec6_note","5","156"
"consented_grp[1]/ec6_grp[1]/ec6","5","156"
"consented_grp[1]/ec7","2","161"
"consented_grp[1]/ec8","5","162"
"consented_grp[1]/ec9","2","168"
"consented_grp[1]/ec10","7","170"
"consented_grp[1]/ec11","6","177"
"consented_grp[1]/ec12","1","183"
"consented_grp[1]/ec13","2","184"
"consented_grp[1]/ec14","7","186"
"consented_grp[1]/ec15","2","193"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","50","195"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","50","195"
"consented_grp[1]/ucd2_grp[1]/ucd2a","50","195"
"consented_grp[1]/ucd2_grp[1]/ucb2b","50","195"
"consented_grp[1]/ucd2_grp[1]/ucb2c","50","195"
"consented_grp[1]/ucd2_grp[1]/ucb2d","50","195"
"consented_grp[1]/ucd2_grp[1]/ucb2e","50","195"
"consented_grp[1]/ucd2_grp[1]/ucb2f","50","195"
"consented_grp[1]/ucd2_grp[1]/ucb2g","50","195"
"consented_grp[1]/ucd2_grp[1]/ucb2h","50","195"
"consented_grp[1]/ucd2_grp[1]/ucb2i","50","195"
"consented_grp[1]/ucd2_grp[1]/ucb2j","50","195"
"consented_grp[1]/ucd3","9","245"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","15","254"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","15","254"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","15","254"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","15","254"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","15","254"
"consented_grp[1]/ucf_grp[1]/ucf5","1","269"
"consented_grp[1]/ucf_grp[1]/ucf7b","2","270"
"consented_grp[1]/ucf_grp[1]/ucf9b","5","272"
"consented_grp[1]/ucf_grp[1]/ucf13","2","278"
"consented_grp[1]/ucf_grp[1]/ucf14","2","280"
"consented_grp[1]/ucf_grp[1]/ucf15","10","282"
"consented_grp[1]/ucf_grp[1]/ucf16","4","291"
"consented_grp[1]/ucf_grp[1]/ucf17","6","295"
"consented_grp[1]/ucf_grp[1]/ucf18","2","301"
"consented_grp[1]/ucf_grp[1]/ucf19","9","304"
"consented_grp[1]/im2","23","312"
"consented_grp[1]/im5","1","335"
"consented_grp[1]/im6_note","1","337"
"consented_grp[1]/im6_rpt[1]/im6","1","338"
"consented_grp[1]/im6_rpt[1]/im6a","8","339"
"consented_grp[1]/im6_rpt[2]/im6","1","348"
"consented_grp[1]/im6_rpt[2]/im6a","8","349"
"consented_grp[1]/im6_rpt[3]/im6","1","357"
"consented_grp[1]/im6_rpt[3]/im6a","6","359"
"consented_grp[1]/im6_rpt[4]/im6","1","365"
"consented_grp[1]/im6_rpt[4]/im6a","4","366"
"consented_grp[1]/im6_rpt[5]/im6","2","369"
"consented_grp[1]/im6_rpt[5]/im6a","4","371"
"consented_grp[1]/im6_rpt[6]/im6","2","375"
"consented_grp[1]/im6_rpt[6]/im6a","8","376"
"consented_grp[1]/im6_rpt[7]/im6","2","384"
"consented_grp[1]/im6_rpt[7]/im6a","9","386"
"consented_grp[1]/im6_rpt[8]/im6","1","395"
"consented_grp[1]/im6_rpt[8]/im6a","5","396"
"consented_grp[1]/im6_rpt[9]/im6","1","402"
"consented_grp[1]/im6_rpt[9]/im6a","5","403"
"consented_grp[1]/im6_rpt[10]/im6","2","407"
"consented_grp[1]/im6_rpt[10]/im6a","5","409"
"consented_grp[1]/im6_rpt[11]/im6","6","413"
"consented_grp[1]/im6_rpt[11]/im6a","12","420"
"consented_grp[1]/im6_rpt[12]/im6","1","432"
"consented_grp[1]/im6_rpt[12]/im6a","5","433"
"consented_grp[1]/im6_rpt[13]/im6","4","438"
"consented_grp[1]/im6_rpt[13]/im6a","9","442"
"consented_grp[1]/im6_rpt[14]/im6","3","451"
"consented_grp[1]/im6_rpt[14]/im6a","8","454"
"consented_grp[1]/im6_rpt[15]/im6","1","462"
"consented_grp[1]/im6_rpt[15]/im6a","8","464"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_note","5","471"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_label","5","471"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8a","5","471"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8b","5","471"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8c","5","471"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8d","5","471"
"consented_grp[1]/im8_im27_grp[1]/im9","2","477"
"consented_grp[1]/ca1","15","478"
"consented_grp[1]/ca3_grp[1]/ca3b_note","23","491"
"consented_grp[1]/ca3_grp[1]/ca3b","23","491"
"consented_grp[1]/ca4","8","514"
"consented_grp[1]/ca5","4","524"
"consented_grp[1]/ca6","4","528"
"consented_grp[1]/ca7_grp[1]/ca7_note","23","532"
"consented_grp[1]/ca7_grp[1]/ca7_label","23","532"
"consented_grp[1]/ca7_grp[1]/ca7a","23","532"
"consented_grp[1]/ca7_grp[1]/ca7b","23","532"
"consented_grp[1]/ca7_grp[1]/ca7c","23","532"
"consented_grp[1]/ca7_grp[1]/ca7d","23","532"
"consented_grp[1]/ca11","7","555"
"consented_grp[1]/ca12","5","562"
"consented_grp[1]/ca14","6","567"
"consented_grp[1]/ca16","10","572"
"consented_grp[1]/ca17","7","576"
"consented_grp[1]/gps_backup","8","589"
"comments","1307","597"
