"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","5","3"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","59","9"
"comm_confirm_grp[1]/comm_details","4","40"
"comm_confirm_grp[1]/comm_confirm","4","40"
"iw_iden_grp[1]/iw_id","206","42"
"iw_iden_grp[1]/iw_fullname","206","42"
"iw_iden_grp[1]/iw_age","206","42"
"iw_id_check_note","19","151"
"wm8","11","289"
"wm9_grp[1]/wm9b","6","294"
"wm9_grp[1]/consent","276","294"
"wm9_grp[1]/wm9a","270","302"
"consented_grp[1]/wb3_age_sel","5","569"
"consented_grp[1]/wb3_dob_dmy","31","573"
"consented_grp[1]/wb5","9","603"
"consented_grp[1]/wb5_grp[1]/wb6","11","609"
"consented_grp[1]/wb5_grp[1]/wb6a","45","614"
"consented_grp[1]/wb5_grp[1]/wb6b","18","649"
"consented_grp[1]/wb5_grp[1]/wb7","14","661"
"consented_grp[1]/wb5_grp[1]/wb9","57","668"
"consented_grp[1]/wb5_grp[1]/wb10a","12","685"
"consented_grp[1]/wb5_grp[1]/wb10b","8","716"
"consented_grp[1]/wb5_grp[1]/wb11","117","721"
"consented_grp[1]/wb5_grp[1]/wb12","16","725"
"consented_grp[1]/wb5_grp[1]/wb12a","13","738"
"consented_grp[1]/wb5_grp[1]/wb12b","6","746"
"consented_grp[1]/wb15","23","749"
"consented_grp[1]/wb18","50","761"
"consented_grp[1]/wb19","3","785"
"consented_grp[1]/mt1","35","790"
"consented_grp[1]/mt2","14","819"
"consented_grp[1]/mt3","15","831"
"consented_grp[1]/mt4","16","843"
"consented_grp[1]/mt9","14","853"
"consented_grp[1]/mt11","8","862"
"consented_grp[1]/mt12","41","866"
"consented_grp[1]/cm1","23","884"
"consented_grp[1]/cm2","16","902"
"consented_grp[1]/cm2_grp[1]/cm3","20","913"
"consented_grp[1]/cm2_grp[1]/cm4","20","913"
"consented_grp[1]/cm5","66","921"
"consented_grp[1]/cm8","6","944"
"consented_grp[1]/cm12","14","946"
"consented_grp[1]/bh0","13","948"
"consented_grp[1]/bh_rpt[1]/bh1","25","955"
"consented_grp[1]/bh_rpt[1]/bh2","42","973"
"consented_grp[1]/bh_rpt[1]/bh3","29","1006"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","12","1025"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","120","1034"
"consented_grp[1]/bh_rpt[1]/bh5","15","1064"
"consented_grp[1]/bh_rpt[1]/bh6","19","1073"
"consented_grp[1]/bh_rpt[1]/bh7","8","1084"
"consented_grp[1]/bh_rpt[1]/bh8","13","1089"
"consented_grp[1]/bh_rpt[1]/bh10","5","1098"
"consented_grp[1]/db2","16","1102"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","12","1117"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","37","1128"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","16","1163"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","16","1163"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","49","1177"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","31","1224"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","31","1224"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","31","1224"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","31","1224"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","31","1224"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","66","1255"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","12","1320"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","5","1331"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","10","1334"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","3","1343"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","18","1345"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","20","1362"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","13","1380"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","6","1392"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","11","1398"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","17","1406"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","14","1422"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","123","1435"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","13","1557"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","45","1569"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","45","1604"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","5","1642"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","11","1646"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","11","1646"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","8","1654"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","7","1662"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","54","1668"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","54","1668"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","18","1720"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","17","1736"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","20","1751"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","20","1751"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","48","1770"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","48","1770"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pm5_note","17","1816"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pn5","17","1816"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6_note","27","1833"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6","27","1833"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn12","18","1858"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn13_grp[1]/pn13a","36","1869"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn13_grp[1]/pn13_units","36","1869"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn17","13","1909"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn21","4","1920"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn21_grp[1]/pn21a","17","1924"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn21_grp[1]/pn22_units","17","1924"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn23","12","1937"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn24","16","1948"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_note","36","1962"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_lab","36","1962"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25a","36","1962"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25b","36","1962"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25c","36","1962"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn27","13","1997"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn29a","32","2010"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn30","24","2041"
"consented_grp[1]/cp1_grp[1]/cp1_note","14","2064"
"consented_grp[1]/cp1_grp[1]/cp1","14","2064"
"consented_grp[1]/cp2_grp[1]/cp2_note","21","2076"
"consented_grp[1]/cp2_grp[1]/cp2","21","2076"
"consented_grp[1]/cp4","10","2097"
"consented_grp[1]/un7","37","2105"
"consented_grp[1]/un8_grp[1]/un8","37","2141"
"consented_grp[1]/un8_grp[1]/un8_units","37","2141"
"consented_grp[1]/ma1","13","2174"
"consented_grp[1]/ma2","56","2184"
"consented_grp[1]/ma3","13","2239"
"consented_grp[1]/ma7","17","2251"
"consented_grp[1]/ma8a","63","2267"
"consented_grp[1]/ma11a","19","2329"
"consented_grp[1]/af_grp[1]/af2","8","2346"
"consented_grp[1]/af_grp[1]/af3","7","2353"
"consented_grp[1]/af_grp[1]/af4","13","2360"
"consented_grp[1]/af_grp[1]/af6b","7","2371"
"consented_grp[1]/af_grp[1]/af8b","4","2377"
"consented_grp[1]/af_grp[1]/af9","5","2381"
"consented_grp[1]/af_grp[1]/af10","6","2384"
"consented_grp[1]/af_grp[1]/af11","8","2389"
"consented_grp[1]/af_grp[1]/af12","12","2397"
"consented_grp[1]/ls1_grp[1]/ls_note","60","2408"
"consented_grp[1]/ls1_grp[1]/ls1","60","2408"
"consented_grp[1]/ls2_grp[1]/ls2_note","50","2467"
"consented_grp[1]/ls2_grp[1]/ls2","50","2467"
"consented_grp[1]/ls3","56","2516"
"consented_grp[1]/ls4","49","2571"
"consented_grp[1]/survey_language","4","2619"
"consented_grp[1]/survey_accomp","4","2622"
"consented_grp[1]/comment","5","2625"
