"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","9","2"
"enum_confirm_grp[1]/enum_details","1","11"
"enum_confirm_grp[1]/enum_confirm","1","11"
"community_id","8","12"
"comm_confirm_grp[1]/comm_details","1","21"
"comm_confirm_grp[1]/comm_confirm","1","21"
"u5_iden_grp[1]/u5_id","164","22"
"u5_iden_grp[1]/u5_fullname","164","22"
"u5_iden_grp[1]/u5_age","164","22"
"u5_iden_grp[1]/u5_ct_id","164","22"
"u5_iden_grp[1]/u5_ct_fullname","164","22"
"uf9","1","186"
"consent_grp[1]/uf10a","10","188"
"consent_grp[1]/consent","10","188"
"consented_grp[1]/ub0","5","194"
"consented_grp[1]/ub1_age_sel","17","195"
"consented_grp[1]/ub1_dob_dmy","52","207"
"consented_grp[1]/ub5","6","272"
"consented_grp[1]/ub9","3","273"
"consented_grp[1]/br1","3","275"
"consented_grp[1]/br2","10","283"
"consented_grp[1]/br3","1","293"
"consented_grp[1]/ec1","2","294"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","7","296"
"consented_grp[1]/ec2_grp[1]/ec2_label","7","296"
"consented_grp[1]/ec2_grp[1]/ec2a","7","296"
"consented_grp[1]/ec2_grp[1]/ec2b","7","296"
"consented_grp[1]/ec2_grp[1]/ec2c","7","296"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","15","304"
"consented_grp[1]/ec3_grp[1]/ec3a","15","304"
"consented_grp[1]/ec3_grp[1]/ec3b","15","304"
"consented_grp[1]/ec7","20","311"
"consented_grp[1]/ec8","1","336"
"consented_grp[1]/ec9","5","337"
"consented_grp[1]/ec10","6","340"
"consented_grp[1]/ec11","3","345"
"consented_grp[1]/ec12","3","347"
"consented_grp[1]/ec13","5","349"
"consented_grp[1]/ec14","3","351"
"consented_grp[1]/ec15","9","353"
"consented_grp[1]/bd_grp[1]/bd2","3","360"
"consented_grp[1]/bd_grp[1]/bd3","2","363"
"consented_grp[1]/bd_grp[1]/bd4","98","364"
"consented_grp[1]/bd_grp[1]/bd5","5","460"
"consented_grp[1]/bd_grp[1]/bd6","5","462"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","17","464"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","17","464"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","17","464"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","17","464"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","17","464"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","17","464"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","7","477"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","7","477"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","7","482"
