"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","5","2"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","9","9"
"comm_confirm_grp[1]/comm_details","1","18"
"comm_confirm_grp[1]/comm_confirm","1","18"
"u5_iden_grp[1]/u5_id","228","19"
"u5_iden_grp[1]/u5_fullname","228","19"
"u5_iden_grp[1]/u5_age","228","19"
"u5_iden_grp[1]/u5_ct_id","228","19"
"u5_iden_grp[1]/u5_ct_fullname","228","19"
"gm1_a","12","247"
"gm1_b","2","259"
"gm2_rpt[1]/gm2_grp[1]/gm3","6","261"
"gm2_rpt[1]/gm2_grp[1]/gm4","2","267"
"gm2_rpt[1]/gm2_grp[1]/gm5","6","269"
"gm2_rpt[1]/gm2_grp[1]/gm6","2","275"
"gm2_rpt[1]/gm2_grp[1]/gm7","2","277"
"gmobs1","6","278"
"gmobs2","5","281"
"an8","14","284"
"an9","8","292"
"an11_grp[1]/an11_a","23","293"
"an11_grp[1]/an11","23","293"
"an12","3","334"
"an13","7","337"
"an15","0","344"
