"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","6","3"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","20","9"
"comm_confirm_grp[1]/comm_details","1","29"
"comm_confirm_grp[1]/comm_confirm","1","29"
"hhid_grp[1]/hhid_instruction","7","31"
"hhid_grp[1]/hhid_struct_num","7","31"
"hhid_grp[1]/hhid_hh_num","7","31"
"hhid_confirm_grp[1]/hhid_details","1","37"
"hhid_confirm_grp[1]/hhid_confirm","1","37"
"consent_grp[1]/consent_instr","159","38"
"consent_grp[1]/consent","159","38"
"consented_grp[1]/hh_note","4","198"
"consented_grp[1]/hhm_cnt","2","202"
"consented_grp[1]/rooster_note","2","203"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","12","205"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","12","205"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","12","205"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","217"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","1","219"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","1","221"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","18","222"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","3","235"
"consented_grp[1]/hhm_rpt[1]/ed4","10","237"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","25","241"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","25","241"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","14","277"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","14","277"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","14","277"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","2","291"
