"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","2"
"enum_id","17","3"
"enum_confirm_grp[1]/enum_details","3","13"
"enum_confirm_grp[1]/enum_confirm","3","13"
"community_id","49","14"
"comm_confirm_grp[1]/comm_details","5","60"
"comm_confirm_grp[1]/comm_confirm","5","60"
"u5_iden_grp[1]/u5_id","180","62"
"u5_iden_grp[1]/u5_fullname","180","62"
"u5_iden_grp[1]/u5_age","180","62"
"u5_iden_grp[1]/u5_ct_id","180","62"
"u5_iden_grp[1]/u5_ct_fullname","180","62"
"gm1_a","6","238"
"gm1_b","4","241"
"gm2_rpt[1]/gm2_grp[1]/gm3","5","244"
"gm2_rpt[1]/gm2_grp[1]/gm4","21","246"
"gm2_rpt[1]/gm2_grp[1]/gm5","3","266"
"gm2_rpt[1]/gm2_grp[1]/gm6","5","269"
"gm2_rpt[1]/gm2_grp[1]/gm7","3","272"
"gmobs1","14","274"
"gmobs2","26","284"
"an8","26","306"
"an9","5","329"
"an11_grp[1]/an11_b","15","333"
"an11_grp[1]/an11","15","333"
"an12","11","345"
"an13","5","355"
"an15","55","358"
