"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","4","2"
"enum_confirm_grp[1]/enum_details","1","6"
"enum_confirm_grp[1]/enum_confirm","1","6"
"community_id","7","7"
"comm_confirm_grp[1]/comm_details","1","13"
"comm_confirm_grp[1]/comm_confirm","1","13"
"u5_iden_grp[1]/u5_id","53","15"
"u5_iden_grp[1]/u5_fullname","53","15"
"u5_iden_grp[1]/u5_age","53","15"
"u5_iden_grp[1]/u5_ct_id","53","15"
"u5_iden_grp[1]/u5_ct_fullname","53","15"
"uf9","2","68"
"consent_grp[1]/consent","4","70"
"consented_grp[1]/ub0","1","74"
"consented_grp[1]/ub1_age_sel","1","75"
"consented_grp[1]/ub1_dob_dmy","8","76"
"consented_grp[1]/ub5","2","84"
"consented_grp[1]/ub9","2","86"
"consented_grp[1]/br1","6","87"
"consented_grp[1]/ec1","21","93"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","17","114"
"consented_grp[1]/ec2_grp[1]/ec2_label","17","114"
"consented_grp[1]/ec2_grp[1]/ec2a","17","114"
"consented_grp[1]/ec2_grp[1]/ec2b","17","114"
"consented_grp[1]/ec2_grp[1]/ec2c","17","114"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","15","131"
"consented_grp[1]/ec3_grp[1]/ec3a","15","131"
"consented_grp[1]/ec3_grp[1]/ec3b","15","131"
"consented_grp[1]/ec7","21","145"
"consented_grp[1]/ec8","1","166"
"consented_grp[1]/ec9","1","167"
"consented_grp[1]/ec10","1","168"
"consented_grp[1]/ec11","2","169"
"consented_grp[1]/ec12","3","171"
"consented_grp[1]/ec13","2","174"
"consented_grp[1]/ec14","7","177"
"consented_grp[1]/ec15","2","184"
"consented_grp[1]/bd_grp[1]/bd2","4","185"
"consented_grp[1]/bd_grp[1]/bd3","2","189"
"consented_grp[1]/bd_grp[1]/bd4","27","191"
"consented_grp[1]/bd_grp[1]/bd5","15","218"
"consented_grp[1]/bd_grp[1]/bd6","11","233"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","24","244"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","24","244"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","24","244"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","24","244"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","24","244"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","24","244"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","3","268"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","3","268"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","1","271"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","1","271"
"consented_grp[1]/bd_grp[1]/bd8","1","273"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","1","274"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","2","275"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","3","277"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","7","279"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","7","286"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","2","294"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","13","296"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","1","309"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","1","310"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","3","311"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","1","314"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","1","315"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","1","316"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","1","316"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","1","317"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","1","318"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","1","319"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","1","320"
"consented_grp[1]/im2","7","321"
"consented_grp[1]/im5","5","328"
"consented_grp[1]/im6_note","1","333"
"consented_grp[1]/im6_rpt[1]/im6","2","334"
"consented_grp[1]/im6_rpt[1]/im6a","17","336"
"consented_grp[1]/im6_rpt[2]/im6","1","353"
"consented_grp[1]/im6_rpt[2]/im6a","10","354"
"consented_grp[1]/im6_rpt[3]/im6","2","364"
"consented_grp[1]/im6_rpt[3]/im6a","9","366"
"consented_grp[1]/im6_rpt[4]/im6","3","372"
"consented_grp[1]/im6_rpt[4]/im6a","9","373"
"consented_grp[1]/im6_rpt[5]/im6","1","386"
"consented_grp[1]/im6_rpt[5]/im6a","4","387"
"consented_grp[1]/im6_rpt[6]/im6","1","391"
"consented_grp[1]/im6_rpt[6]/im6a","10","392"
"consented_grp[1]/im6_rpt[7]/im6","1","402"
"consented_grp[1]/im6_rpt[7]/im6a","18","402"
"consented_grp[1]/im6_rpt[8]/im6","3","420"
"consented_grp[1]/im6_rpt[8]/im6a","6","424"
"consented_grp[1]/im6_rpt[9]/im6","2","430"
"consented_grp[1]/im6_rpt[9]/im6a","5","431"
"consented_grp[1]/im6_rpt[10]/im6","1","436"
"consented_grp[1]/im6_rpt[10]/im6a","4","437"
"consented_grp[1]/im6_rpt[11]/im6","2","441"
"consented_grp[1]/im6_rpt[11]/im6a","8","443"
"consented_grp[1]/im6_rpt[12]/im6","1","451"
"consented_grp[1]/im6_rpt[12]/im6a","8","452"
"consented_grp[1]/im6_rpt[13]/im6","1","460"
"consented_grp[1]/im6_rpt[13]/im6a","5","461"
"consented_grp[1]/im6_rpt[14]/im6","3","465"
"consented_grp[1]/im6_rpt[14]/im6a","2","466"
"consented_grp[1]/im6_rpt[15]/im6","2","470"
"consented_grp[1]/ca1","19","472"
"consented_grp[1]/ca14","1","491"
"consented_grp[1]/ca16","10","492"
"consented_grp[1]/ca17","1","502"
"consented_grp[1]/ca31","22","504"
"consented_grp[1]/gps_backup","942","525"
"comments","3","1468"
