"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","3"
"enum_id","7","4"
"enum_confirm_grp[1]/enum_details","1","11"
"enum_confirm_grp[1]/enum_confirm","1","11"
"community_id","7","12"
"comm_confirm_grp[1]/comm_details","4","19"
"comm_confirm_grp[1]/comm_confirm","4","19"
"iw_iden_grp[1]/iw_id","45","23"
"iw_iden_grp[1]/iw_fullname","45","23"
"iw_iden_grp[1]/iw_age","45","23"
"wm8","2","67"
"wm9_grp[1]/wm9b","2","69"
"wm9_grp[1]/consent","2","69"
"consented_grp[1]/wb3_age_sel","3","71"
"consented_grp[1]/wb4_age_est","4","74"
"consented_grp[1]/wb5","6","78"
"consented_grp[1]/wb14_grp[1]/wb14_note","4","83"
"consented_grp[1]/wb14_grp[1]/wb14","4","83"
"consented_grp[1]/wb15","22","88"
"consented_grp[1]/wb16_grp[1]/wb16a","54","109"
"consented_grp[1]/wb16_grp[1]/wb16_note","54","109"
"consented_grp[1]/wb16_grp[1]/wb16b","54","109"
"consented_grp[1]/wb17a","9","156"
"consented_grp[1]/wb17b","3","172"
"consented_grp[1]/wb18","3","175"
"consented_grp[1]/mt1","4","178"
"consented_grp[1]/mt2","15","182"
"consented_grp[1]/mt3","2","197"
"consented_grp[1]/mt4","4","199"
"consented_grp[1]/mt9","7","203"
"consented_grp[1]/mt11","3","209"
"consented_grp[1]/mt12","14","212"
"consented_grp[1]/cm1","370","226"
"consented_grp[1]/cm2","14","596"
"consented_grp[1]/cm2_grp[1]/cm3","7","611"
"consented_grp[1]/cm2_grp[1]/cm4","7","611"
"consented_grp[1]/cm5","4","618"
"consented_grp[1]/cm5_grp[1]/cm6","29","622"
"consented_grp[1]/cm5_grp[1]/cm7","29","622"
"consented_grp[1]/cm8","4","650"
"consented_grp[1]/cm8_grp[1]/cm9","13","654"
"consented_grp[1]/cm8_grp[1]/cm10","13","654"
"consented_grp[1]/cm12","3","668"
"consented_grp[1]/bh0","3","671"
"consented_grp[1]/bh_rpt[1]/bh1","11","674"
"consented_grp[1]/bh_rpt[1]/bh2","2","685"
"consented_grp[1]/bh_rpt[1]/bh3","2","687"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","9","689"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","160","698"
"consented_grp[1]/bh_rpt[1]/bh5","4","858"
"consented_grp[1]/bh_rpt[1]/bh6","13","863"
"consented_grp[1]/bh_rpt[1]/bh7","4","875"
"consented_grp[1]/bh_rpt[1]/bh10","6","879"
"consented_grp[1]/bh_rpt[2]/bh1","35","885"
"consented_grp[1]/bh_rpt[2]/bh2","2","920"
"consented_grp[1]/bh_rpt[2]/bh3","8","922"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","7","930"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","22","937"
"consented_grp[1]/bh_rpt[2]/bh5","2","959"
"consented_grp[1]/bh_rpt[2]/bh6","6","961"
"consented_grp[1]/bh_rpt[2]/bh7","3","967"
"consented_grp[1]/bh_rpt[2]/bh10","2","970"
"consented_grp[1]/bh_rpt[3]/bh1","13","972"
"consented_grp[1]/bh_rpt[3]/bh2","2","985"
"consented_grp[1]/bh_rpt[3]/bh3","2","987"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","9","989"
"consented_grp[1]/bh_rpt[3]/bh4_dob_my","16","999"
"consented_grp[1]/bh_rpt[3]/bh5","5","1015"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_note","11","1020"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_a","11","1020"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_b","11","1020"
"consented_grp[1]/bh_rpt[3]/bh10","3","1030"
"consented_grp[1]/bh_rpt[4]/bh1","11","1033"
"consented_grp[1]/bh_rpt[4]/bh2","2","1044"
"consented_grp[1]/bh_rpt[4]/bh3","2","1046"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","2","1048"
"consented_grp[1]/bh_rpt[4]/bh4_dob_my","22","1051"
"consented_grp[1]/bh_rpt[4]/bh5","4","1073"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_note","9","1077"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_a","9","1077"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_b","9","1077"
"consented_grp[1]/bh_rpt[4]/bh10","4","1086"
"consented_grp[1]/bh_rpt[5]/bh1","5","1090"
"consented_grp[1]/bh_rpt[5]/bh2","2","1095"
"consented_grp[1]/bh_rpt[5]/bh3","4","1097"
"consented_grp[1]/bh_rpt[5]/bh4_age_sel","4","1101"
"consented_grp[1]/bh_rpt[5]/bh4_dob_dmy","14","1105"
"consented_grp[1]/bh_rpt[5]/bh5","3","1119"
"consented_grp[1]/bh_rpt[5]/bh6","4","1122"
"consented_grp[1]/bh_rpt[5]/bh7","3","1126"
"consented_grp[1]/bh_rpt[5]/bh8","17","1129"
"consented_grp[1]/bh_rpt[5]/bh10","3","1146"
"consented_grp[1]/bh_rpt[6]/bh1","7","1148"
"consented_grp[1]/bh_rpt[6]/bh2","2","1156"
"consented_grp[1]/bh_rpt[6]/bh3","4","1158"
"consented_grp[1]/bh_rpt[6]/bh4_age_sel","3","1162"
"consented_grp[1]/bh_rpt[6]/bh4_dob_dmy","11","1165"
"consented_grp[1]/bh_rpt[6]/bh5","2","1176"
"consented_grp[1]/bh_rpt[6]/bh6","6","1178"
"consented_grp[1]/bh_rpt[6]/bh7","2","1184"
"consented_grp[1]/bh_rpt[6]/bh8","14","1186"
"consented_grp[1]/bh_rpt[6]/bh10","11","1198"
"consented_grp[1]/db2","23","1200"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","22","1215"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","26","1227"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","33","1251"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","33","1251"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","18","1277"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","16","1291"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","16","1291"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","16","1291"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","16","1291"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","16","1291"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","13","1304"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","14","1312"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","17","1327"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","5","1337"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","7","1340"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","14","1343"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","7","1353"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","12","1359"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","23","1368"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","19","1375"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","29","1394"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","4","1508"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","18","1512"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","37","1517"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","12","1563"
