"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","2","2"
"enum_confirm_grp[1]/enum_details","1","5"
"enum_confirm_grp[1]/enum_confirm","1","5"
"community_id","13","6"
"comm_confirm_grp[1]/comm_details","1","18"
"comm_confirm_grp[1]/comm_confirm","1","18"
"u5_iden_grp[1]/u5_id","62","20"
"u5_iden_grp[1]/u5_fullname","62","20"
"u5_iden_grp[1]/u5_age","62","20"
"u5_iden_grp[1]/u5_ct_id","62","20"
"u5_iden_grp[1]/u5_ct_fullname","62","20"
"uf9","2","81"
"consent_grp[1]/consent","2","83"
"consented_grp[1]/ub0","1","85"
"consented_grp[1]/ub1_age_sel","5","86"
"consented_grp[1]/ub1_dob_my","4","89"
"consented_grp[1]/ub1_dob_dmy","16","94"
"consented_grp[1]/ub5","5","110"
"consented_grp[1]/ub9","2","115"
"consented_grp[1]/br1","2","117"
"consented_grp[1]/br2","2","119"
"consented_grp[1]/br3","2","121"
"consented_grp[1]/ec1","4","123"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","6","127"
"consented_grp[1]/ec2_grp[1]/ec2_label","6","127"
"consented_grp[1]/ec2_grp[1]/ec2a","6","127"
"consented_grp[1]/ec2_grp[1]/ec2b","6","127"
"consented_grp[1]/ec2_grp[1]/ec2c","6","127"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","10","133"
"consented_grp[1]/ec3_grp[1]/ec3a","10","133"
"consented_grp[1]/ec3_grp[1]/ec3b","10","133"
"consented_grp[1]/ec7","4","143"
"consented_grp[1]/ec8","2","147"
"consented_grp[1]/ec9","4","149"
"consented_grp[1]/ec10","3","153"
"consented_grp[1]/ec11","3","156"
"consented_grp[1]/ec12","4","159"
"consented_grp[1]/ec13","4","163"
"consented_grp[1]/ec14","4","167"
"consented_grp[1]/ec15","3","171"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","19","175"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","19","175"
"consented_grp[1]/ucd2_grp[1]/ucd2a","19","175"
"consented_grp[1]/ucd2_grp[1]/ucb2b","19","175"
"consented_grp[1]/ucd2_grp[1]/ucb2c","19","175"
"consented_grp[1]/ucd2_grp[1]/ucb2d","19","175"
"consented_grp[1]/ucd2_grp[1]/ucb2e","19","175"
"consented_grp[1]/ucd2_grp[1]/ucb2f","19","175"
"consented_grp[1]/ucd2_grp[1]/ucb2g","19","175"
"consented_grp[1]/ucd2_grp[1]/ucb2h","19","175"
"consented_grp[1]/ucd2_grp[1]/ucb2i","19","175"
"consented_grp[1]/ucd2_grp[1]/ucb2j","19","175"
"consented_grp[1]/ucd2_grp[1]/ucb2k","19","175"
"consented_grp[1]/ucd3","4","194"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","8","197"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","8","197"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","8","197"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","8","197"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","8","197"
"consented_grp[1]/ucf_grp[1]/ucf5","2","206"
"consented_grp[1]/ucf_grp[1]/ucf7b","2","207"
"consented_grp[1]/ucf_grp[1]/ucf9b","1","209"
"consented_grp[1]/ucf_grp[1]/ucf13","1","210"
"consented_grp[1]/ucf_grp[1]/ucf14","1","211"
"consented_grp[1]/ucf_grp[1]/ucf15","2","213"
"consented_grp[1]/ucf_grp[1]/ucf16","2","215"
"consented_grp[1]/ucf_grp[1]/ucf17","1","217"
"consented_grp[1]/ucf_grp[1]/ucf18","1","218"
"consented_grp[1]/ucf_grp[1]/ucf19","4","220"
"consented_grp[1]/bd_grp[1]/bd2","3","224"
"consented_grp[1]/bd_grp[1]/bd3","2","226"
"consented_grp[1]/bd_grp[1]/bd4","13","228"
"consented_grp[1]/bd_grp[1]/bd5","9","241"
"consented_grp[1]/bd_grp[1]/bd6","2","250"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","12","251"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","12","251"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","12","251"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","12","251"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","12","251"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","12","251"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","2","263"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","2","263"
