"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","4","2"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","10","7"
"comm_confirm_grp[1]/comm_details","1","17"
"comm_confirm_grp[1]/comm_confirm","1","17"
"u5_iden_grp[1]/u5_id","65","19"
"u5_iden_grp[1]/u5_fullname","65","19"
"u5_iden_grp[1]/u5_age","65","19"
"u5_iden_grp[1]/u5_ct_id","65","19"
"u5_iden_grp[1]/u5_ct_fullname","65","19"
"uf9","1","83"
"consent_grp[1]/consent","2","85"
"consented_grp[1]/ub0","1","87"
"consented_grp[1]/ub1_age_sel","2","88"
"consented_grp[1]/ub1_dob_dmy","13","90"
"consented_grp[1]/ub5","2","103"
"consented_grp[1]/ub6","1","104"
"consented_grp[1]/ub9","1","106"
"consented_grp[1]/br1","12","107"
"consented_grp[1]/br2","2","110"
"consented_grp[1]/ec1","6","120"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","54","126"
"consented_grp[1]/ec2_grp[1]/ec2_label","54","126"
"consented_grp[1]/ec2_grp[1]/ec2a","54","126"
"consented_grp[1]/ec2_grp[1]/ec2b","54","126"
"consented_grp[1]/ec2_grp[1]/ec2c","54","126"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","7","182"
"consented_grp[1]/ec3_grp[1]/ec3a","7","182"
"consented_grp[1]/ec3_grp[1]/ec3b","7","182"
"consented_grp[1]/ec5_grp[1]/ec5","63","189"
"consented_grp[1]/ec5_grp[1]/ec5_label","63","189"
"consented_grp[1]/ec5_grp[1]/ec5a","63","189"
"consented_grp[1]/ec5_grp[1]/ec5b","63","189"
"consented_grp[1]/ec5_grp[1]/ec5c","63","189"
"consented_grp[1]/ec5_grp[1]/ec5d","63","189"
"consented_grp[1]/ec5_grp[1]/ec5e","63","189"
"consented_grp[1]/ec5_grp[1]/ec5f","63","189"
"consented_grp[1]/ec6_grp[1]/ec6_note","10","253"
"consented_grp[1]/ec6_grp[1]/ec6","10","253"
"consented_grp[1]/ec7","2","262"
"consented_grp[1]/ec8","4","264"
"consented_grp[1]/ec9","4","266"
"consented_grp[1]/ec10","2","273"
"consented_grp[1]/ec11","5","274"
"consented_grp[1]/ec12","4","279"
"consented_grp[1]/ec13","3","283"
"consented_grp[1]/ec14","2","287"
"consented_grp[1]/ec15","4","289"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","47","291"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","47","291"
"consented_grp[1]/ucd2_grp[1]/ucd2a","47","291"
"consented_grp[1]/ucd2_grp[1]/ucb2b","47","291"
"consented_grp[1]/ucd2_grp[1]/ucb2c","47","291"
"consented_grp[1]/ucd2_grp[1]/ucb2d","47","291"
"consented_grp[1]/ucd2_grp[1]/ucb2e","47","291"
"consented_grp[1]/ucd2_grp[1]/ucb2f","47","291"
"consented_grp[1]/ucd2_grp[1]/ucb2g","47","291"
"consented_grp[1]/ucd2_grp[1]/ucb2h","47","291"
"consented_grp[1]/ucd2_grp[1]/ucb2i","47","291"
"consented_grp[1]/ucd2_grp[1]/ucb2j","47","291"
"consented_grp[1]/ucd3","6","340"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","8","346"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","8","346"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","8","346"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","8","346"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","8","346"
"consented_grp[1]/ucf_grp[1]/ucf5","2","353"
"consented_grp[1]/ucf_grp[1]/ucf7b","4","355"
"consented_grp[1]/ucf_grp[1]/ucf9b","1","359"
"consented_grp[1]/ucf_grp[1]/ucf13","1","360"
"consented_grp[1]/ucf_grp[1]/ucf14","1","361"
"consented_grp[1]/ucf_grp[1]/ucf15","1","362"
"consented_grp[1]/ucf_grp[1]/ucf16","1","364"
"consented_grp[1]/ucf_grp[1]/ucf17","2","365"
"consented_grp[1]/ucf_grp[1]/ucf18","2","367"
"consented_grp[1]/ucf_grp[1]/ucf19","16","369"
"consented_grp[1]/im2","2","385"
"consented_grp[1]/im5","9","387"
"consented_grp[1]/im6_note","1","396"
"consented_grp[1]/im6_rpt[1]/im6","2","397"
"consented_grp[1]/im6_rpt[1]/im6a","35","399"
"consented_grp[1]/im6_rpt[2]/im6","2","434"
"consented_grp[1]/im6_rpt[2]/im6a","13","437"
"consented_grp[1]/im6_rpt[3]/im6","2","450"
"consented_grp[1]/im6_rpt[3]/im6a","22","451"
"consented_grp[1]/im6_rpt[4]/im6","3","471"
"consented_grp[1]/im6_rpt[4]/im6a","14","473"
"consented_grp[1]/im6_rpt[5]/im6","2","490"
"consented_grp[1]/im6_rpt[5]/im6a","10","492"
"consented_grp[1]/im6_rpt[6]/im6","3","501"
"consented_grp[1]/im6_rpt[6]/im6a","14","505"
"consented_grp[1]/im6_rpt[7]/im6","4","518"
"consented_grp[1]/im6_rpt[7]/im6a","11","523"
"consented_grp[1]/im6_rpt[8]/im6","1","534"
"consented_grp[1]/im6_rpt[8]/im6a","7","535"
"consented_grp[1]/im6_rpt[9]/im6","2","542"
"consented_grp[1]/im6_rpt[9]/im6a","6","544"
"consented_grp[1]/im6_rpt[10]/im6","2","549"
"consented_grp[1]/im6_rpt[10]/im6a","10","551"
"consented_grp[1]/im6_rpt[11]/im6","6","557"
"consented_grp[1]/im6_rpt[11]/im6a","15","566"
"consented_grp[1]/im6_rpt[12]/im6","2","581"
"consented_grp[1]/im6_rpt[12]/im6a","8","584"
"consented_grp[1]/im6_rpt[13]/im6","2","591"
"consented_grp[1]/im6_rpt[13]/im6a","6","593"
"consented_grp[1]/im6_rpt[14]/im6","5","599"
"consented_grp[1]/im6_rpt[14]/im6a","19","604"
"consented_grp[1]/im6_rpt[15]/im6","9","622"
"consented_grp[1]/im6_rpt[15]/im6a","11","631"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_note","42","642"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_label","42","642"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8a","42","642"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8b","42","642"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8c","42","642"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8d","42","642"
"consented_grp[1]/im8_im27_grp[1]/im9","2","684"
"consented_grp[1]/ca1","2","687"
"consented_grp[1]/ca14","6","689"
"consented_grp[1]/ca16","1","695"
"consented_grp[1]/ca17","2","697"
"consented_grp[1]/gps_backup","14","699"
"comments","5","713"
