"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","2","2"
"enum_confirm_grp[1]/enum_details","1","5"
"enum_confirm_grp[1]/enum_confirm","1","5"
"community_id","10","6"
"comm_confirm_grp[1]/comm_details","1","15"
"comm_confirm_grp[1]/comm_confirm","1","15"
"u5_iden_grp[1]/u5_id","87","17"
"u5_iden_grp[1]/u5_fullname","87","17"
"u5_iden_grp[1]/u5_age","87","17"
"u5_iden_grp[1]/u5_ct_id","87","17"
"u5_iden_grp[1]/u5_ct_fullname","87","17"
"gm1_a","2","104"
"gmobs1","2","106"
"gmobs2","2","108"
"an8","9","111"
"an9","2","119"
"an11_grp[1]/an11_b","8","121"
"an11_grp[1]/an11","8","121"
"an12","2","129"
"an13","3","131"
"an15","3","134"
