"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","4","3"
"enum_confirm_grp[1]/enum_details","7","7"
"enum_confirm_grp[1]/enum_confirm","7","7"
"community_id","7","15"
"comm_confirm_grp[1]/comm_details","2","22"
"comm_confirm_grp[1]/comm_confirm","2","22"
"iw_iden_grp[1]/iw_id","80","24"
"iw_iden_grp[1]/iw_fullname","80","24"
"iw_iden_grp[1]/iw_age","80","24"
"wm8","2","104"
"wm9_grp[1]/wm9b","2","106"
"wm9_grp[1]/consent","2","106"
"consented_grp[1]/wb3_age_sel","4","108"
"consented_grp[1]/wb4_age_est","3","112"
"consented_grp[1]/wb5","5","115"
"consented_grp[1]/wb14_grp[1]/wb14_note","4","120"
"consented_grp[1]/wb14_grp[1]/wb14","4","120"
"consented_grp[1]/wb15","51","124"
"consented_grp[1]/wb16_grp[1]/wb16a","25","175"
"consented_grp[1]/wb16_grp[1]/wb16_note","25","175"
"consented_grp[1]/wb16_grp[1]/wb16b","25","175"
"consented_grp[1]/wb17a","6","200"
"consented_grp[1]/wb17b","8","206"
"consented_grp[1]/wb18","14","213"
"consented_grp[1]/mt1","3","227"
"consented_grp[1]/mt2","6","231"
"consented_grp[1]/mt3","3","236"
"consented_grp[1]/mt4","6","240"
"consented_grp[1]/mt9","5","245"
"consented_grp[1]/mt11","6","251"
"consented_grp[1]/mt12","3","257"
"consented_grp[1]/cm1","5","260"
"consented_grp[1]/cm2","8","265"
"consented_grp[1]/cm2_grp[1]/cm3","29","273"
"consented_grp[1]/cm2_grp[1]/cm4","29","273"
"consented_grp[1]/cm5","14","288"
"consented_grp[1]/cm5_grp[1]/cm6","21","300"
"consented_grp[1]/cm5_grp[1]/cm7","21","300"
"consented_grp[1]/cm8","16","318"
"consented_grp[1]/cm12","7","331"
"consented_grp[1]/bh0","1","359"
"consented_grp[1]/bh_rpt[1]/bh1","17","361"
"consented_grp[1]/bh_rpt[1]/bh2","9","378"
"consented_grp[1]/bh_rpt[1]/bh3","2","387"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","4","389"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","14","393"
"consented_grp[1]/bh_rpt[1]/bh5","4","407"
"consented_grp[1]/bh_rpt[1]/bh6","10","411"
"consented_grp[1]/bh_rpt[1]/bh7","5","421"
"consented_grp[1]/bh_rpt[1]/bh8","10","426"
"consented_grp[1]/bh_rpt[1]/bh10","4","436"
"consented_grp[1]/bh_rpt[2]/bh1","28","440"
"consented_grp[1]/bh_rpt[2]/bh2","2","468"
"consented_grp[1]/bh_rpt[2]/bh3","8","471"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","29","478"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","17","507"
"consented_grp[1]/bh_rpt[2]/bh5","2","524"
"consented_grp[1]/bh_rpt[2]/bh6","20","526"
"consented_grp[1]/bh_rpt[2]/bh7","4","546"
"consented_grp[1]/bh_rpt[2]/bh10","3","550"
"consented_grp[1]/bh_rpt[3]/bh1","15","553"
"consented_grp[1]/bh_rpt[3]/bh2","2","568"
"consented_grp[1]/bh_rpt[3]/bh3","4","570"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","5","574"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","16","580"
"consented_grp[1]/bh_rpt[3]/bh5","2","596"
"consented_grp[1]/bh_rpt[3]/bh6","15","598"
"consented_grp[1]/bh_rpt[3]/bh7","2","612"
"consented_grp[1]/bh_rpt[3]/bh8","5","615"
"consented_grp[1]/bh_rpt[3]/bh10","2","620"
"consented_grp[1]/db2","13","622"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","20","635"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","6","655"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","6","661"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","6","661"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","15","667"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","39","682"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","39","682"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","39","682"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","39","682"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","39","682"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","23","721"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","9","744"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","14","753"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","13","767"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","11","781"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","4","792"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","9","796"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","8","805"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","9","813"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","10","822"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","20","832"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","6","852"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","33","858"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","35","891"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","2","926"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","12","928"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","11","940"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","5","951"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","5","951"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","7","956"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","7","964"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","22","971"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","22","971"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","31","993"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","2","1018"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","12","1027"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","12","1027"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","10","1039"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","10","1039"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pm5_note","5","1049"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pn5","5","1049"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6_note","3","1055"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6","3","1055"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn12","3","1058"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn13_grp[1]/pn13a","14","1061"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn13_grp[1]/pn13_units","14","1061"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn17","13","1075"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_note","7","1088"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_lab","7","1088"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25a","7","1088"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25b","7","1088"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25c","7","1088"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn27","4","1095"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn29a","15","1098"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn30","44","1114"
"consented_grp[1]/cp1_grp[1]/cp1_note","14","1158"
"consented_grp[1]/cp1_grp[1]/cp1","14","1158"
"consented_grp[1]/cp2_grp[1]/cp2_note","10","1172"
"consented_grp[1]/cp2_grp[1]/cp2","10","1172"
"consented_grp[1]/cp4","9","1182"
"consented_grp[1]/un7","14","1191"
"consented_grp[1]/un8_grp[1]/un8","11","1206"
"consented_grp[1]/un8_grp[1]/un8_units","11","1206"
"consented_grp[1]/ma1","11","1217"
"consented_grp[1]/ma2","21","1228"
"consented_grp[1]/ma3","8","1249"
"consented_grp[1]/ma7","10","1257"
"consented_grp[1]/ma8a","21","1267"
"consented_grp[1]/ma11a","12","1288"
"consented_grp[1]/af_grp[1]/af2","7","1300"
"consented_grp[1]/af_grp[1]/af3","3","1307"
"consented_grp[1]/af_grp[1]/af4","2","1310"
"consented_grp[1]/af_grp[1]/af6b","10","1312"
"consented_grp[1]/af_grp[1]/af8b","3","1322"
"consented_grp[1]/af_grp[1]/af9","3","1325"
"consented_grp[1]/af_grp[1]/af10","4","1327"
"consented_grp[1]/af_grp[1]/af11","3","1331"
"consented_grp[1]/af_grp[1]/af12","10","1334"
"consented_grp[1]/ls1_grp[1]/ls_note","52","1344"
"consented_grp[1]/ls1_grp[1]/ls1","52","1344"
"consented_grp[1]/ls2_grp[1]/ls2_note","7","1396"
"consented_grp[1]/ls2_grp[1]/ls2","7","1396"
"consented_grp[1]/ls3","5","1404"
"consented_grp[1]/ls4","2","1408"
"consented_grp[1]/survey_language","7","1410"
"consented_grp[1]/survey_accomp","2","1417"
"consented_grp[1]/survey_accomp_enum","4","1419"
"consented_grp[1]/comment","4","1423"
