"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","5","3"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","7","9"
"comm_confirm_grp[1]/comm_details","1","16"
"comm_confirm_grp[1]/comm_confirm","1","16"
"u5_iden_grp[1]/u5_id","46","17"
"u5_iden_grp[1]/u5_fullname","46","17"
"u5_iden_grp[1]/u5_age","46","17"
"u5_iden_grp[1]/u5_ct_id","46","17"
"u5_iden_grp[1]/u5_ct_fullname","46","17"
"gm1_a","3","63"
"gmobs1","2","66"
"gmobs2","2","67"
"an8","9","69"
"an9","4","78"
"an11_grp[1]/an11_b","9","82"
"an11_grp[1]/an11","9","82"
"an12","2","91"
"an13","8","93"
"an15","1","101"
