"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","6","3"
"enum_confirm_grp[1]/enum_details","3","8"
"enum_confirm_grp[1]/enum_confirm","3","8"
"community_id","86","10"
"comm_confirm_grp[1]/comm_details","2","98"
"comm_confirm_grp[1]/comm_confirm","2","98"
"chw_iden_grp[1]/chw_id","58","99"
"chw_iden_grp[1]/chw_fullname","58","99"
"consent_grp[1]/consent_note","192","157"
"consent_grp[1]/consent","192","157"
"consented_grp[1]/consent_followup","2","349"
"consented_grp[1]/gi101","188","351"
"consented_grp[1]/gi102","3","539"
"consented_grp[1]/gi103_dob","39","542"
"consented_grp[1]/gi03_age","4","580"
"consented_grp[1]/age_mismatch","2","584"
"consented_grp[1]/gi104","4","586"
"consented_grp[1]/gi105","19","590"
"consented_grp[1]/gi107","28","609"
"consented_grp[1]/gi110","25","638"
"consented_grp[1]/gi111b","4","663"
"consented_grp[1]/gi113","3","667"
"consented_grp[1]/gi114_grp[1]/gi114_note","16","669"
"consented_grp[1]/gi114_grp[1]/gi114_a","16","669"
"consented_grp[1]/gi114_grp[1]/gi114_b","16","669"
"consented_grp[1]/gi115_grp[1]/gi115_note","75","686"
"consented_grp[1]/gi115_grp[1]/gi115_a","75","686"
"consented_grp[1]/gi115_grp[1]/gi115_b","75","686"
"consented_grp[1]/gi116_grp[1]/gi116_a","32","761"
"consented_grp[1]/gi116_grp[1]/gi116_b","32","761"
"consented_grp[1]/gi117","21","792"
"consented_grp[1]/gi118","23","814"
"consented_grp[1]/gi119","92","837"
"consented_grp[1]/gi120_grp[1]/gi120_a","20","928"
"consented_grp[1]/gi120_grp[1]/gi120_b","20","928"
"consented_grp[1]/gi121_grp[1]/gi121_a","13","948"
"consented_grp[1]/gi122_grp[1]/gi122_a","21","961"
"consented_grp[1]/gi122_grp[1]/gi122_b","21","961"
"consented_grp[1]/gi123","9","982"
"consented_grp[1]/gi124","11","991"
"consented_grp[1]/gi125","8","1002"
"consented_grp[1]/gi126","4","1011"
"consented_grp[1]/gi127","4","1014"
"consented_grp[1]/gi128_grp[1]/gi128","23","1018"
"consented_grp[1]/gi128_grp[1]/gi129","17","1041"
