"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","5","3"
"enum_confirm_grp[1]/enum_details","2","8"
"enum_confirm_grp[1]/enum_confirm","2","8"
"community_id","12","10"
"comm_confirm_grp[1]/comm_details","1","22"
"comm_confirm_grp[1]/comm_confirm","1","22"
"hhid_grp[1]/hhid_instruction","14","23"
"hhid_grp[1]/hhid_struct_num","14","23"
"hhid_grp[1]/hhid_hh_num","14","23"
"hhid_confirm_grp[1]/hhid_details","4","38"
"hhid_confirm_grp[1]/hhid_confirm","4","38"
"consent_grp[1]/consent_instr","48","42"
"consent_grp[1]/consent","48","42"
"consented_grp[1]/hh_note","2","90"
"consented_grp[1]/hhm_cnt","274","92"
"consented_grp[1]/rooster_note","2","366"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","40","368"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","40","368"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","40","368"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","409"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","411"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","110","414"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","7","522"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","3","531"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","4","534"
"consented_grp[1]/hhm_rpt[1]/ed4","6","538"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","4","544"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","4","548"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","2","552"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","9","554"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","5","563"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","5","563"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","41","568"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","41","568"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","41","568"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","2","609"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","611"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","5","613"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","318","616"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","6","930"
"consented_grp[1]/hhm_rpt[2]/ed4","7","935"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","5","940"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","5","940"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","28","954"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","28","954"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","28","954"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","33","981"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","2","1014"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","3","1016"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","26","1019"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","3","1045"
"consented_grp[1]/hhm_rpt[3]/ed4","9","1048"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","3","1056"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","2","1059"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","2","1061"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","3","1063"
"consented_grp[1]/hhm_rpt[3]/ed9","5","1067"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","2","1069"
"consented_grp[1]/hhm_rpt[3]/ed15","5","1074"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","3","1079"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","3","1079"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","26","1082"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","26","1082"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","26","1082"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","3","1108"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","3","1111"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","2","1114"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","18","1116"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","7","1134"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","15","1141"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","15","1141"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","16","1155"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","16","1155"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","16","1155"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl3","15","1171"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl4","2","1186"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_age_sel","18","1188"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_dob_dmy","12","1206"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl7","4","1214"
"consented_grp[1]/hhm_rpt[5]/ed4","7","1216"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5a","4","1222"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5a_a","7","1223"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5b","4","1225"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed6","6","1228"
"consented_grp[1]/hhm_rpt[5]/ed9","3","1232"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed10","3","1234"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed11a","5","1236"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed12","3","1238"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed13","3","1240"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed14","7","1242"
"consented_grp[1]/hhm_rpt[5]/ed15","3","1247"
"consented_grp[1]/hhm_rpt[5]/ed16_grp[1]/ed16a","3","1249"
"consented_grp[1]/hhm_rpt[5]/ed16_grp[1]/ed16b","3","1250"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_note","11","1253"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_yn","11","1253"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","47","1295"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","47","1295"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","47","1295"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl3","6","1341"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl4","2","1347"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl5_age_sel","2","1349"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl5_dob_dmy","13","1351"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl7","6","1365"
"consented_grp[1]/hhm_rpt[6]/hhm_add_grp[1]/hhm_add_note","3","1371"
"consented_grp[1]/hhm_rpt[6]/hhm_add_grp[1]/hhm_add_yn","3","1371"
"consented_grp[1]/hhm_ch_intro","2","1374"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","2","1375"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","2","1378"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","2","1379"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","2","1381"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","2","1383"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17b","2","1384"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl12","2","1386"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13a","1","1387"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13b","2","1389"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl16","2","1391"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17a","2","1392"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17b","2","1394"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl12","2","1396"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13a","2","1397"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13b","1","1399"
